shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg"
MAT-POS-35d3f55a-1,Z228068546,C19H20N2O4,Racemic or presumed racemic or meso,340.373,94.8,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-30,03_A,COC=1C=CC=CC1OCCNC(=O)C2CC(=O)NC=3C=CC=CC23,"N-[2-(2-methoxyphenoxy)ethyl]-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",T6527633,
BEN-DND-4f474d93-1,Z4765682196,C18H14ClN3O2,Single known enantiomer,339.775,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-30,03_B,ClC=1C=CC=2OCC[C@H](C(=O)NC=3C=NC=C4C=NC=CC34)C2C1,"(4S)-6-chloro-N-(2,7-naphthyridin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2761314,
ALP-POS-ce760d3f-2,Z4767994308,C18H14ClN3O2,Single known enantiomer,339.775,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-30,03_C,ClC=1C=CC=2OCC[C@@H](C(=O)NC=3C=NC=C4C=NC=CC34)C2C1,"(4R)-6-chloro-N-(2,7-naphthyridin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2761313,
ALP-POS-ce760d3f-5,Z4778754465,C19H12ClFN2O2,Achiral,354.762,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-30,03_D,FC=1C=CC=2C=NC=C(NC(=O)C3=CCOC=4C=CC(Cl)=CC34)C2C1,6-chloro-N-(6-fluoroisoquinolin-4-yl)-2H-chromene-4-carboxamide,H2768949,
ALP-POS-64a710fa-1,Z4664916433,C24H28N2OS,Achiral,392.556,97.79,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-30,03_E,O=C(CC=1C=NC=C2C=CC=CC12)N(CCC3CCCCC3)CC4=CC=CS4,N-(2-cyclohexylethyl)-2-(isoquinolin-4-yl)-N-[(thiophen-2-yl)methyl]acetamide,H2775179,
ALP-POS-ce760d3f-6,Z4778754449,C20H15ClN2O3,Achiral,366.797,97.65,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-30,03_F,COC=1C=CC=2C=NC=C(NC(=O)C3=CCOC=4C=CC(Cl)=CC34)C2C1,6-chloro-N-(6-methoxyisoquinolin-4-yl)-2H-chromene-4-carboxamide,H2768944,
MAT-POS-14ad9fe9-1,Z4661830646,C16H16ClN3O,Achiral,301.770,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-30,03_G,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3NCCCC23)C1,"2-(3-chlorophenyl)-N-(1,2,3,4-tetrahydro-1,7-naphthyridin-5-yl)acetamide",H2775111,
MAT-POS-3b536971-1,Z4765682198,C20H19ClN2O5,Achiral,402.828,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-30,03_H,COC=1C=CC(Cl)=CC1OCCNC(=O)C2=CC(=O)NC=3C=CC=C(OC)C23,"N-[2-(5-chloro-2-methoxyphenoxy)ethyl]-5-methoxy-2-oxo-1,2-dihydroquinoline-4-carboxamide",H2784373,
ALP-POS-ce760d3f-8,Z4766982413,C20H17ClN2O,Racemic or presumed racemic or meso,336.814,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-30,03_I,ClC=1C=CC(=CC1)C2CCCN(C2=O)C=3C=NC=C4C=CC=CC34,3-(4-chlorophenyl)-1-(isoquinolin-4-yl)piperidin-2-one,H2793150,
EN300-135535,Z1269185764,C10H9ClO3,Racemic or presumed racemic or meso,212.629,95,200415-FTE / COVID-19,,,0,,,Box BB,01_A,OC(=O)C1CCOC=2C=CC(Cl)=CC12,"6-chloro-3,4-dihydro-2H-1-benzopyran-4-carboxylic acid",*R2392884*,500.5
EN300-71337,Z317024734,C10H11NO3,Racemic or presumed racemic or meso,193.199,95,200415-FTE / COVID-19,,,0,,,Box BB,01_B,NC1(CCOC=2C=CC=CC21)C(=O)O,"4-amino-3,4-dihydro-2H-1-benzopyran-4-carboxylic acid",*R1887257*,500.1
EN300-11545,Z57051058,C11H15ClN2,Achiral,210.703,95,200415-FTE / COVID-19,,,0,,,Box BB,01_C,ClC=1C=CC=C(CN2CCNCC2)C1,1-[(3-chlorophenyl)methyl]piperazine,*R1294624*,1000.1
EN300-91775,Z1198179941,C8H8ClNO,Achiral,169.608,95,200415-FTE / COVID-19,,,0,,,Box BB,01_D,ClC=1C=CC=2OCCNC2C1,"6-chloro-3,4-dihydro-2H-1,4-benzoxazine",*R529254*,1000.3
