shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg"
KAD-UNI-80f122c8-2,Z4898404655,C28H27ClN4O4,Diastereomeric mixture,518.991,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-46,03_A,CC(=O)N1CC2CC1CN2C(=O)CC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56,"4-(2-{5-acetyl-2,5-diazabicyclo[2.2.1]heptan-2-yl}-2-oxoethyl)-6-chloro-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2974435,
rel-BEN-DND-f2e727cd-5-1,Z4943052515,C19H18Cl3N3O,Single unknown enantiomer,410.724,93.55,200415-FTE / COVID-19,hydrogen chloride,2,36.46094,40,20,1178796-Y40-46,03_B,"Cl.Cl.ClC=1C=CC=2CNC[C@@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1 |o1:10,r|","rel-(4R)-6-chloro-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide dihydrochloride",H2978000,
rel-BEN-DND-f2e727cd-5-2,Z4943052518,C19H18Cl3N3O,Single unknown enantiomer,410.724,92.74,200415-FTE / COVID-19,hydrogen chloride,2,36.46094,40,20,1178796-Y40-46,03_C,"Cl.Cl.ClC=1C=CC=2CNC[C@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1 |o1:10,r|","rel-(4R)-6-chloro-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide dihydrochloride",H2978001,
MAT-POS-e9e99895-3,Z4898404673,C24H22Cl2N4O3,Diastereomeric mixture,485.362,90,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-46,03_D,CC(NC(=O)C1CCC(=O)NC1)(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=CC(Cl)=C(Cl)C4,"2-(3,4-dichlorophenyl)-N-(isoquinolin-4-yl)-2-[(6-oxopiperidin-3-yl)formamido]propanamide",H2967869,
MAT-POS-e9e99895-13,Z4898404686,C24H24Cl2N4O2,Diastereomeric mixture,471.378,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-46,03_E,CN1CCC(C1)C(=O)NC(C)(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=CC(Cl)=C(Cl)C4,"2-(3,4-dichlorophenyl)-N-(isoquinolin-4-yl)-2-[(1-methylpyrrolidin-3-yl)formamido]propanamide",H2985838,
LON-WEI-9739a092-6,Z4925948221,C26H23ClN4O3,Achiral,474.938,90,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-46,03_F,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(C1)N4CCN(CC4)C(=O)C5=CC=CO5,2-{3-chloro-5-[4-(furan-2-carbonyl)piperazin-1-yl]phenyl}-N-(isoquinolin-4-yl)acetamide,H2963211,
BEN-BAS-c2bc0d80-7,Z4780165445,C21H16ClN3O3,Racemic or presumed racemic or meso,393.823,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-46,03_G,CN1C(=O)N(C(=O)C21CCOC=3C=CC(Cl)=CC32)C=4C=NC=C5C=CC=CC45,"6-chloro-1'-(isoquinolin-4-yl)-3'-methyl-2,3-dihydrospiro[1-benzopyran-4,4'-imidazolidine]-2',5'-dione",H2966967,
EDJ-MED-9e38fd34-1,Z4909940765,C19H14ClN3O2,Racemic or presumed racemic or meso,351.786,85.8,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-46,03_H,CC1(C(=O)NC=2C=NC=C3C=CC=CC23)C(=O)NC=4C=CC(Cl)=CC41,"5-chloro-N-(isoquinolin-4-yl)-3-methyl-2-oxo-2,3-dihydro-1H-indole-3-carboxamide",H2982649,
EDG-MED-ba1ac7b9-9,Z4914836752,C28H27ClN6O3,Diastereomeric mixture,531.005,97.86,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-46,03_I,ClC=1C=CC=2OCCC(CC(=O)N3CCCCC3C4=NN=CN4)(C(=O)NC=5C=NC=C6C=CC=CC56)C2C1,"6-chloro-N-(isoquinolin-4-yl)-4-{2-oxo-2-[2-(4H-1,2,4-triazol-3-yl)piperidin-1-yl]ethyl}-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2974439,
EDG-MED-ba1ac7b9-23,Z4914836786,C28H27ClF2N4O3,Diastereomeric mixture,540.988,95.91,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-46,03_J,FC(F)CN1C[C@@H]2C[C@H]1CN2C(=O)CC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56,"6-chloro-4-{2-[(1S,4S)-5-(2,2-difluoroethyl)-2,5-diazabicyclo[2.2.1]heptan-2-yl]-2-oxoethyl}-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2974441,
LON-WEI-9739a092-2,Z4925948226,C23H16ClF3N4O,Achiral,456.847,93.38,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-46,03_K,FC(F)(F)C=1C=CC(NC=2C=C(Cl)C=C(CC(=O)NC=3C=NC=C4C=CC=CC34)C2)=NC1,2-(3-chloro-5-{[5-(trifluoromethyl)pyridin-2-yl]amino}phenyl)-N-(isoquinolin-4-yl)acetamide,H2974433,
ALP-UNI-3496895b-7,Z4914835001,C28H28ClN5O3,Racemic or presumed racemic or meso,518.006,82.23,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-46,03_L,ClC=1C=CC=2OCCC(CC(=O)N3CCN(CCC#N)CC3)(C(=O)NC=4C=NC=C5C=CC=CC45)C2C1,"6-chloro-4-{2-[4-(2-cyanoethyl)piperazin-1-yl]-2-oxoethyl}-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2976141,
