shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg (left)"
ALP-POS-c56c1477-4,Z5169210053,C25H23ClN4O3S,Racemic or presumed racemic or meso,494.993,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-34,03_A,CC1(CN(CC=2C=CC(Cl)=CC21)S(=O)(=O)CC3(CC3)C#N)C(=O)NC=4C=NC=C5C=CC=CC45,"6-chloro-2-[(1-cyanocyclopropyl)methanesulfonyl]-N-(isoquinolin-4-yl)-4-methyl-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3571238,22.6
MAT-POS-c88128cb-1,Z5367986307,C26H30ClN3O4S,Racemic or presumed racemic or meso,516.052,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-34,03_B,CC(C)CS(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC(=CC23)C(C)(C)O)C=4C=C(Cl)C=CC4C1,"6-chloro-N-[6-(2-hydroxypropan-2-yl)isoquinolin-4-yl]-2-(2-methylpropanesulfonyl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3569740,36.3
MAT-POS-78ab8081-3,Z5372150751,C26H27ClN4O6S2,Racemic or presumed racemic or meso,591.098,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-34,03_C,CNC(=O)C=1C=CC=2C=NC=C(NC(=O)C3CN(CC=4C=CC(Cl)=CC34)S(=O)(=O)CC5(C)CS(=O)(=O)C5)C2C1,"4-{6-chloro-2-[(3-methyl-1,1-dioxo-1??-thietan-3-yl)methanesulfonyl]-1,2,3,4-tetrahydroisoquinoline-4-amido}-N-methylisoquinoline-6-carboxamide",H3569738,38.4
EDJ-MED-ede277f6-11,Z5367986374,C24H23Cl2N3O5S2,Racemic or presumed racemic or meso,568.492,91.41,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-34,03_D,CC1(CS(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=C(Cl)C34)C=5C=C(Cl)C=CC5C2)CS(=O)(=O)C1,"6-chloro-N-(5-chloroisoquinolin-4-yl)-2-[(3-methyl-1,1-dioxo-1??-thietan-3-yl)methanesulfonyl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3566077,20.8
MAT-POS-b4d6b7fc-1,Z5372150757,C23H24ClN5O4S,Racemic or presumed racemic or meso,501.985,98.12,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-34,03_E,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=C(NS(=O)(=O)C)C=CC23)C=4C=C(Cl)C=CC4C1,"6-chloro-N-(7-methanesulfonamidoisoquinolin-4-yl)-2-[(methylcarbamoyl)methyl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3562149,0.5
MAT-POS-83f73d0a-2,Z5372150749,C28H33ClN4O6S2,Racemic or presumed racemic or meso,621.167,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-34,03_F,CN(C)CCOC=1C=CC=2C=NC=C(NC(=O)C3CN(CC=4C=CC(Cl)=CC34)S(=O)(=O)CC5(C)CS(=O)(=O)C5)C2C1,"6-chloro-N-{6-[2-(dimethylamino)ethoxy]isoquinolin-4-yl}-2-[(3-methyl-1,1-dioxo-1??-thietan-3-yl)methanesulfonyl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3566079,11.6
EDJ-MED-2791eece-3,Z5278655702,C22H22ClN3O2,Racemic or presumed racemic or meso,395.881,98.27,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-34,03_G,COCCN1CCC=2C=CC(Cl)=CC2C1C(=O)NC=3C=NC=C4C=CC=CC34,"7-chloro-N-(isoquinolin-4-yl)-2-(2-methoxyethyl)-1,2,3,4-tetrahydroisoquinoline-1-carboxamide",H3563365,29.1
MAT-POS-83f73d0a-1,Z5367986318,C27H30ClN3O6S2,Racemic or presumed racemic or meso,592.126,96.59,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-34,03_H,CC(C)(O)C=1C=CC=2C=NC=C(NC(=O)C3CN(CC=4C=CC(Cl)=CC34)S(=O)(=O)CC5(C)CS(=O)(=O)C5)C2C1,"6-chloro-N-[6-(2-hydroxypropan-2-yl)isoquinolin-4-yl]-2-[(3-methyl-1,1-dioxo-1??-thietan-3-yl)methanesulfonyl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3569743,0.4
MAT-POS-22373164-4,Z5395340420,C27H26ClN5O5S2,Racemic or presumed racemic or meso,600.108,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-34,03_I,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=C(NS(=O)(=O)C5CC5)C=CC34)C2C1)S(=O)(=O)CC6(CC6)C#N,"6-chloro-2-[(1-cyanocyclopropyl)methanesulfonyl]-N-(7-cyclopropanesulfonamidoisoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3582673,21.8
ALP-POS-d7944b10-3,Z5368429813,C23H21ClN4O3S,Achiral,468.955,93.97,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-34,03_J,ClC=1C=CC(CNS(=O)(=O)CC2(CC2)C#N)=C(CC(=O)NC=3C=NC=C4C=CC=CC34)C1,2-(5-chloro-2-{[(1-cyanocyclopropyl)methanesulfonamido]methyl}phenyl)-N-(isoquinolin-4-yl)acetamide,H3580970,0
MAT-POS-90fd5f68-12,Z5261485114,C18H16ClN3O3S,Achiral,389.855,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-34,03_K,CS(=O)(=O)NC=1C=CC=2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=CC2C1,2-(3-chlorophenyl)-N-(7-methanesulfonamidoisoquinolin-4-yl)acetamide,H3566086,13.4
EDG-MED-ee636701-1,Z5367986287,C24H23ClN4O5S,Diastereomeric mixture,514.981,98.3,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-34,03_L,CNC(=O)CN1C(C)C(C(=O)NC=2C=NC=C3C=C(C=CC23)S(=O)(=O)C)C=4C=C(Cl)C=CC4C1=O,"6-chloro-N-(7-methanesulfonylisoquinolin-4-yl)-3-methyl-2-[(methylcarbamoyl)methyl]-1-oxo-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3586174,0
