Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID
1181202-Y4-62,05_A,20210811_enamine_to_xchem.csv,COC1(CS(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2)CC1,EDJ-MED-76744c27-4,4,100,ALF-EVA-07677224-7,Racemic or presumed racemic or meso,Z5169209969,H3317514
1181202-Y4-62,05_B,20210811_enamine_to_xchem.csv,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CCS(=O)(=O)CC5)C#N,MAT-POS-5cd9ea36-7,4,100,MAT-POS-5cd9ea36-7,Racemic or presumed racemic or meso,Z5169210093,H3314749
1181202-Y4-62,05_C,20210811_enamine_to_xchem.csv,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5CCOCC5,EDJ-MED-4fff0a85-1,4,100,EDJ-MED-4fff0a85-1,Racemic or presumed racemic or meso,Z5169209983,H3317523
1181202-Y4-62,05_D,20210811_enamine_to_xchem.csv,CC(C)(CS(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1)C#N,EDJ-MED-76744c27-1,4,100,EDJ-MED-76744c27-1,Racemic or presumed racemic or meso,Z5169209945,H3314764
1181202-Y4-62,05_E,20210811_enamine_to_xchem.csv,CN(CCC#N)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,MAT-POS-5cd9ea36-21,4,100,MAT-POS-5cd9ea36-21,Racemic or presumed racemic or meso,Z5169210162,H3314758
1181202-Y4-62,05_F,20210811_enamine_to_xchem.csv,CCN(C)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,MAT-POS-5cd9ea36-16,4,100,MAT-POS-5cd9ea36-16,Racemic or presumed racemic or meso,Z5169210125,H3314771
1181202-Y4-62,05_G,20210811_enamine_to_xchem.csv,CC(C)CS(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,EDJ-MED-76744c27-5,4,100,EDJ-MED-76744c27-5,Racemic or presumed racemic or meso,Z5169209978,H3317521
1181202-Y4-62,05_H,20210811_enamine_to_xchem.csv,COCCN(C)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,MAT-POS-5cd9ea36-22,4,100,MAT-POS-5cd9ea36-22,Racemic or presumed racemic or meso,Z5169210170,H3314773
1181202-Y4-62,05_I,20210811_enamine_to_xchem.csv,CC=1C=CC=2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=CC2C1,MAT-POS-29385cc1-3,4,100,MAT-POS-29385cc1-3,Achiral,Z5169210032,H3329569
1181202-Y4-62,05_J,20210811_enamine_to_xchem.csv,CN(CC#N)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,MAT-POS-5cd9ea36-18,4,100,MAT-POS-5cd9ea36-18,Racemic or presumed racemic or meso,Z5169210148,H3328008
1181202-Y4-62,05_K,20210811_enamine_to_xchem.csv,COC=1C=C2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=CC2=CC1F,PET-UNK-b38839dc-1,4,100,PET-UNK-b38839dc-1,Achiral,Z5169210014,H3329606
1181202-Y4-62,05_L,20210811_enamine_to_xchem.csv,COC(=O)CN(C)S(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,MAT-POS-af1eef35-2,4,100,MAT-POS-af1eef35-2,Racemic or presumed racemic or meso,Z5198865386,H3336389
1181202-Y4-62,05_M,20210811_enamine_to_xchem.csv,CC1(CS(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2)CS(=O)(=O)C1,EDJ-MED-4fff0a85-3,4,100,EDJ-MED-4fff0a85-3,Racemic or presumed racemic or meso,Z5169210000,H3324109
1181202-Y4-62,05_N,20210811_enamine_to_xchem.csv,FC1(CS(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2)CC1,MAT-POS-5cd9ea36-9,4,100,MAT-POS-5cd9ea36-9,Racemic or presumed racemic or meso,Z5169210100,H3329769
1181202-Y4-62,05_O,20210811_enamine_to_xchem.csv,CC1(CS(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2)CC1,MAT-POS-5cd9ea36-10,4,100,MAT-POS-5cd9ea36-10,Racemic or presumed racemic or meso,Z5169210103,H3317516
