Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID,"Amount, mg (left)"
1181202-Y4-70,05_A,20211012_enamine_to_xchem.csv,CS(=O)(=O)OC=1C=CC=2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=CC2C1,PET-UNK-7fb4f80a-1,4,100,PET-UNK-7fb4f80a-1,Achiral,Z5261485129,H3481763,21.1
1181202-Y4-70,05_B,20211012_enamine_to_xchem.csv,CC(C)NC(=O)CN1CC(C(=O)NC=2C=NC=C3C=C(F)C=CC23)C=4C=C(Cl)C=CC4C1=O,EDJ-MED-e69ed63d-1,4,100,EDJ-MED-e69ed63d-1,Racemic or presumed racemic or meso,Z5335933777,H3484126,56.7
1181202-Y4-70,05_C,20211012_enamine_to_xchem.csv,FC=1C=CC=2C(NC(=O)C3CN(CC(=O)NCC4CC4)C(=O)C=5C=CC(Cl)=CC35)=CN=CC2C1,EDJ-MED-e69ed63d-15,4,100,EDJ-MED-e69ed63d-15,Racemic or presumed racemic or meso,Z5335933848,H3484120,55.4
1181202-Y4-70,05_D,20211012_enamine_to_xchem.csv,ClC=1C=CC=2C(=O)N(CC(=O)NCC3CC3)CC(C(=O)NC=4C=NC=C5C=CC=CC45)C2C1,RAL-THA-a9c31980-6,4,100,RAL-THA-a9c31980-6,Racemic or presumed racemic or meso,Z5261485089,H3484125,19.9
1181202-Y4-70,05_E,20211012_enamine_to_xchem.csv,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=CC=C(Cl)C23)C=4C=C(Cl)C=CC4C1=O,EDJ-MED-0186a59b-8,4,100,EDJ-MED-0186a59b-8,Racemic or presumed racemic or meso,Z5335933693,H3484128,43.0
1181202-Y4-70,05_F,20211012_enamine_to_xchem.csv,ClC=1C=CC=2C(=O)N(CC(=O)NC3CCC3)CC(C(=O)NC=4C=NC=C5C=CC=CC45)C2C1,RAL-THA-a9c31980-2,4,100,RAL-THA-a9c31980-2,Racemic or presumed racemic or meso,Z5261485084,H3471322,89.4
1181202-Y4-70,05_G,20211012_enamine_to_xchem.csv,FC=1C=CC=2C(NC(=O)C3CN(CC(=O)NC4CCC4)C(=O)C=5C=CC(Cl)=CC35)=CN=CC2C1,EDJ-MED-e69ed63d-9,4,100,EDJ-MED-e69ed63d-9,Racemic or presumed racemic or meso,Z5335933820,H3471318,73.8
1181202-Y4-70,05_H,20211012_enamine_to_xchem.csv,ClC=1C=CC=2C(=O)N(CC(=O)NC3CC3)CC(C(=O)NC=4C=NC=C5C=CC=CC45)C2C1,EDJ-MED-43f8f7d6-4,4,100,EDJ-MED-43f8f7d6-4,Racemic or presumed racemic or meso,Z5261485093,H3471319,82.3
1181202-Y4-70,05_I,20211012_enamine_to_xchem.csv,ClC=1C=CC=2OC3CC(C3)(C(=O)NC=4C=NC=C5C=C(Cl)C=CC45)C2C1,EDJ-MED-c3ea9889-7,4,100,EDJ-MED-c3ea9889-7,Diastereomeric mixture,Z5335933729,H3471320,60.5
1181202-Y4-70,05_J,20211012_enamine_to_xchem.csv,C[C@@]1(CNS(=O)(=O)C=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,MAT-POS-806462de-2,4,100,MAT-POS-806462de-2,Single unknown enantiomer,Z5368149776,H3494546,9.6
1181202-Y4-70,05_K,20211012_enamine_to_xchem.csv,C[C@]1(CNS(=O)(=O)C=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,MAT-POS-806462de-1,4,100,MAT-POS-806462de-1,Single unknown enantiomer,Z5368136110,H3494545,11.4
1181202-Y4-70,05_L,20211012_enamine_to_xchem.csv,COC1(CS(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2=O)CC1,EDJ-MED-968bafd9-1,4,100,EDJ-MED-968bafd9-1,Racemic or presumed racemic or meso,Z5335933756,H3496483,18.5
