Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID,"Amount, mg (left)"
1166137-Y4-02,A05,20200417_enamine_to_xchem.csv,ClCC(=O)NC=1C=CC=C(C1)N2CCCC2=O,MAK-UNK-643-4,4,50,,,Z199423638,UNK,UNK
1166137-Y4-02,B05,20200417_enamine_to_xchem.csv,FC=1C=CC=C(F)C1S(=O)(=O)N2CCN(CC2)C(=O)CCl,MAK-UNK-643-6-2,4,50,,,Z147647646,UNK,UNK
1166137-Y4-02,C05,20200417_enamine_to_xchem.csv,ClCC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=CS2,MAK-UNK-643-1-2,4,50,,,Z147647358,UNK,UNK
1166137-Y4-02,D05,20200417_enamine_to_xchem.csv,FC=1C=CC=C(C1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,MAK-UNK-643-5-2,4,50,LON-WEI-8f408cad-4,,Z147647642,UNK,UNK
1166137-Y4-02,E05,20200417_enamine_to_xchem.csv,NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CC2)C=3C=CSC3,WAR-XCH-b72-16,4,50,,,Z3076733213,UNK,UNK
1166137-Y4-02,F05,20200417_enamine_to_xchem.csv,CC=1C=CC=C(NC2CCN(CC2)C=3C=CC(=CC3)S(=O)(=O)N)C1,WAR-XCH-b68-27,4,50,,,Z3076198092,UNK,UNK
1166137-Y4-02,G05,20200417_enamine_to_xchem.csv,NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CC2)C3=CC=CO3,WAR-XCH-b72-7,4,50,,,Z3077528599,UNK,UNK
1166137-Y4-02,H05,20200417_enamine_to_xchem.csv,O=C(CC=1C=NC=NC1)NC=2C=CC=C(OC3CC(=O)N3)C2,BAR-COM-4e0-39,4,50,,,Z4444622180,UNK,UNK
1166137-Y4-02,I05,20200417_enamine_to_xchem.csv,O=C(CC=1C=NC=C2C=CC=CC12)NC=3C=CC=CC3,DAR-DIA-23a-20,4,50,DAR-DIA-23aa0b97-20,,Z4444622066,UNK,UNK
1166137-Y4-02,J05,20200417_enamine_to_xchem.csv,CC(NC(=O)C=1C=CC=CC1OCC(=O)N)C=2C=NN(C)C2,BAR-COM-4e0-62,4,50,,,Z1260022281,UNK,UNK
1166137-Y4-02,K05,20200417_enamine_to_xchem.csv,O=C(NCC=1C=NSC1)C=2C=CC=CC2OCC#N,BAR-COM-4e0-49,4,50,,,Z4444621965,UNK,UNK
1166137-Y4-02,L05,20200417_enamine_to_xchem.csv,CCC(NC(=O)C(C)N1C=NC=N1)C=2C=CC=CC2OCC(=O)N3CCCC3,BAR-COM-4e0-31,4,50,,,Z1190447759,UNK,UNK
1166137-Y4-02,M05,20200417_enamine_to_xchem.csv,O=C(C1CCOCC1)N2CCN(CC2)C(=O)C=3C=CC=CC3,GIA-UNK-eaa-1,4,50,GIA-UNK-eaadd1d4-1,,Z73335350,UNK,UNK
1166137-Y4-02,N05,20200417_enamine_to_xchem.csv,NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CC2)C=3C=CN=CC3,WAR-XCH-b72-15,4,50,,,Z3076880033,UNK,UNK
1166137-Y4-02,O05,20200417_enamine_to_xchem.csv,O=C(CC=1C=NC=C(C#N)C1)NC=2C=CC=NC2,DAR-DIA-23a-17,4,50,DAR-DIA-23aa0b97-17,,Z4444621910,UNK,UNK
1166137-Y4-02,P05,20200417_enamine_to_xchem.csv,NC1=NN=NN1C=2C=CC=C(C2)C(=O)NC3=C(N=C4C=CC=CN34)C=5C=CC=NC5,BAR-COM-4e0-2,4,50,,,Z4444622179,UNK,UNK
1166137-Y4-02,Q05,20200417_enamine_to_xchem.csv,NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CO)CC2,WAR-XCH-b72-14,4,50,,,Z759957788,UNK,UNK
1166137-Y4-02,R05,20200417_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=CC=C(C#N)C2,TRY-UNI-714-20,4,50,TRY-UNI-714a760b-20,,Z1344037997,UNK,UNK
1166137-Y4-02,S05,20200417_enamine_to_xchem.csv,CCN(C)CC1CCN(CC1)C=2C=CC(=CC2)S(=O)(=O)N,WAR-XCH-b72-49,4,50,,,Z3394588817,UNK,UNK
