Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID
1181202-Y4-02,A05,20200520_enamine_to_xchem.csv,CN(C)C/C=C/C(=O)NCC1=CNC=2C=CC=CC12,ANT-OPE-ab3-2,4,100,ANT-OPE-ab37bd51-2
1181202-Y4-02,B05,20200520_enamine_to_xchem.csv,CN(C)C/C=C/C(=O)NC1=CNC=2C=CC=CC12,ANT-OPE-ab3-1,4,100,ANT-OPE-ab37bd51-1
1181202-Y4-02,C05,20200520_enamine_to_xchem.csv,CC=1C=CC(=CC1)S(=O)(=O)NC2CCN(CC2)C(=O)CCl,WAR-XCH-79d-4,4,100,WAR-XCH-79d12f6e-4
1181202-Y4-02,D05,20200520_enamine_to_xchem.csv,ClCC(=O)N1CCN(CC=2C=C(C#N)C=C3C=CC=CC23)CC1,DAR-DIA-fb2-6,4,100,DAR-DIA-fb20be43-6
1181202-Y4-02,E05,20200520_enamine_to_xchem.csv,ClCC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CSC2,MAK-UNK-643-10,4,100,MAT-POS-ee51dedd-2
1181202-Y4-02,F05,20200520_enamine_to_xchem.csv,C=CC(=O)N1CCCN(CC=2C=CC=CC2)CC1,ANT-OPE-c0c-1,4,100,ANT-OPE-c0c3e7cc-1
1181202-Y4-02,G05,20200520_enamine_to_xchem.csv,FC=1C=CC(CNC=2C=CC=3N(CCCC3C2)C(=O)CCl)=C(Cl)C1,MIC-IOC-304-2,4,100,MAT-POS-ee51dedd-3
1181202-Y4-02,H05,20200520_enamine_to_xchem.csv,ClCC(=O)N1CCN(CCNC(=O)C=2C=CC=CC2)CC1,STE-KU-2e0-1,4,100,STE-KUL-2e0d2e88-1
1181202-Y4-02,I05,20200520_enamine_to_xchem.csv,CC(=O)NC=1C=CC(C#N)=CC1CN2CCN(CC2)C(=O)CCl,TAM-UNI-d1c-18,4,100,TAM-UNI-d1c3dd9f-18
1181202-Y4-02,J05,20200520_enamine_to_xchem.csv,C=CC(=O)N1CCN(CC=2C=CC=C3C=CC=CC23)CC1,JOO-IND-637-4,4,100,JOO-IND-6372a4f3-4
1181202-Y4-02,K05,20200520_enamine_to_xchem.csv,C=CC(=O)N1CCN(CC#C)CC1,TOB-UNK-c2a-2,4,100,TOB-UNK-c2aba166-2
1181202-Y4-02,L05,20200520_enamine_to_xchem.csv,COC=1C=C(NC(=O)C(=O)NC=2C=C(OC)C(OC)=C(OC)C2)C=C(OC)C1OC,ANT-LOU-17a-2,4,100,ANT-LOU-17aa1493-2
1181202-Y4-02,M05,20200520_enamine_to_xchem.csv,O=C(CC1=CNC=2N=CC=CC12)NCC=3C=C(C#N)C=CN3,TRY-UNI-1fd-10,4,100,TRY-UNI-1fd04853-10
1181202-Y4-02,N05,20200520_enamine_to_xchem.csv,ClC=1C=CC(C=2C=CC=CC2)=C(C1)C(=O)NC=3C=CC=NC3,CHR-SOS-709-14,4,100,CHR-SOS-7098f804-14
