Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID
1181202-Y4-59,05_A,20210728_enamine_to_xchem.csv,COC=1C=CC(=CC1)C=2C=CSC2S(=O)(=O)N3CCN(CC3)C(=O)CCl,PEI-IMP-668afc53-2,4,100,PEI-IMP-668afc53-2,Achiral,Z5185034917,T4090200
1181202-Y4-59,05_B,20210728_enamine_to_xchem.csv,CCOC(=O)/C=C/N1CCN(CC1)S(=O)(=O)C=2C=CC=CC2,PEI-IMP-3d837503-1,4,100,PEI-IMP-3d837503-1,Achiral,Z5185035079,T4090203
1181202-Y4-59,05_C,20210728_enamine_to_xchem.csv,C=CC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=CC2,PEI-IMP-3d837503-2,4,100,PEI-IMP-3d837503-2,Achiral,Z445123384,T4090201
1181202-Y4-59,05_D,20210728_enamine_to_xchem.csv,COC=1C=CC(=CC1)C=2C=CC=CC2S(=O)(=O)N3CCN(CC3)C(=O)CCl,PEI-IMP-668afc53-1,4,100,PEI-IMP-668afc53-1,Achiral,Z5185034784,T4090199
1181202-Y4-59,05_E,20210728_enamine_to_xchem.csv,C=CS(=O)(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=CC2,PEI-IMP-3d837503-3,4,100,PEI-IMP-3d837503-3,Achiral,Z3590606400,T4090202
1181202-Y4-59,05_F,20210728_enamine_to_xchem.csv,ClC=1C=CC=2CN(C[C@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CC5)C#N,re-MAT-POS-dc2604c4-1-1,4,100,MAT-POS-e194df51-2,Single unknown enantiomer,Z5129808244,H3294976
1181202-Y4-59,05_G,20210728_enamine_to_xchem.csv,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5CC5,EDJ-MED-76744c27-3,4,100,EDJ-MED-76744c27-3,Racemic or presumed racemic or meso,Z5169209958,H3294077
1181202-Y4-59,05_H,20210728_enamine_to_xchem.csv,CC=1C=CN2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=C2C1,EDJ-MED-b24713dc-1,4,100,EDJ-MED-b24713dc-1,Achiral,Z5115885793,H3282145
1181202-Y4-59,05_I,20210728_enamine_to_xchem.csv,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)NC5CCC5,MAT-POS-5cd9ea36-3,4,100,MAT-POS-5cd9ea36-3,Racemic or presumed racemic or meso,Z5169210063,H3290855
1181202-Y4-59,05_J,20210728_enamine_to_xchem.csv,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CC#N)CC5,MAT-POS-5cd9ea36-8,4,100,MAT-POS-5cd9ea36-8,Racemic or presumed racemic or meso,Z5169210096,H3290857
1181202-Y4-59,05_K,20210728_enamine_to_xchem.csv,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5CS(=O)(=O)C5,EDJ-MED-4fff0a85-4,4,100,EDJ-MED-4fff0a85-4,Racemic or presumed racemic or meso,Z5169210003,H3290853
1181202-Y4-59,05_L,20210728_enamine_to_xchem.csv,ClC=1C=CC=2CN(C[C@@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CC5)C#N,rel-MAT-POS-dc2604c4-1-2,4,100,MAT-POS-e194df51-1,Single unknown enantiomer,Z5129808241,H3294977
1181202-Y4-59,05_M,20210728_enamine_to_xchem.csv,CC=1C=CC2=NC=C(NC(=O)CC=3C=CC=C(Cl)C3)N2C1,EDJ-MED-b24713dc-3,4,100,EDJ-MED-b24713dc-3,Achiral,Z5115885794,H3294149
1181202-Y4-59,05_N,20210728_enamine_to_xchem.csv,COC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=C(F)C=CC34,ALP-POS-6f6ae286-3,4,100,ALP-POS-6f6ae286-3,Racemic or presumed racemic or meso,Z5125346348,H3285329
1181202-Y4-59,05_O,20210728_enamine_to_xchem.csv,ClC=1C=CC=C(CC(=O)NC2=CN=CN2C=3C=CC=CC3)C1,BEN-DND-1e24cf73-1,4,100,BEN-DND-1e24cf73-1,Achiral,Z5118940060,H3298629
