Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID
1181202-Y4-40,05_A,20210310_enamine_to_xchem.csv,CC(=O)N1CC2CC1CN2C(=O)CC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56,KAD-UNI-80f122c8-2,4,100,KAD-UNI-80f122c8-2,Diastereomeric mixture,Z4898404655,H2974435
1181202-Y4-40,05_B,20210310_enamine_to_xchem.csv,Cl.Cl.ClC=1C=CC=2CNC[C@@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,rel-BEN-DND-f2e727cd-5-1,4,100,BEN-DND-f2e727cd-5,Single unknown enantiomer,Z4943052515,H2978000
1181202-Y4-40,05_C,20210310_enamine_to_xchem.csv,Cl.Cl.ClC=1C=CC=2CNC[C@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,rel-BEN-DND-f2e727cd-5-2,4,100,BEN-DND-f2e727cd-5,Single unknown enantiomer,Z4943052518,H2978001
1181202-Y4-40,05_D,20210310_enamine_to_xchem.csv,CC(NC(=O)C1CCC(=O)NC1)(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=CC(Cl)=C(Cl)C4,MAT-POS-e9e99895-3,4,100,MAT-POS-e9e99895-3,Diastereomeric mixture,Z4898404673,H2967869
1181202-Y4-40,05_E,20210310_enamine_to_xchem.csv,CN1CCC(C1)C(=O)NC(C)(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=CC(Cl)=C(Cl)C4,MAT-POS-e9e99895-13,4,100,MAT-POS-e9e99895-13,Diastereomeric mixture,Z4898404686,H2985838
1181202-Y4-40,05_F,20210310_enamine_to_xchem.csv,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(C1)N4CCN(CC4)C(=O)C5=CC=CO5,LON-WEI-9739a092-6,4,100,LON-WEI-9739a092-6,Achiral,Z4925948221,H2963211
1181202-Y4-40,05_G,20210310_enamine_to_xchem.csv,CN1C(=O)N(C(=O)C21CCOC=3C=CC(Cl)=CC32)C=4C=NC=C5C=CC=CC45,BEN-BAS-c2bc0d80-7,4,100,BEN-BAS-c2bc0d80-7,Racemic or presumed racemic or meso,Z4780165445,H2966967
1181202-Y4-40,05_H,20210310_enamine_to_xchem.csv,CC1(C(=O)NC=2C=NC=C3C=CC=CC23)C(=O)NC=4C=CC(Cl)=CC41,EDJ-MED-9e38fd34-1,4,100,EDJ-MED-9e38fd34-1,Racemic or presumed racemic or meso,Z4909940765,H2982649
1181202-Y4-40,05_I,20210310_enamine_to_xchem.csv,ClC=1C=CC=2OCCC(CC(=O)N3CCCCC3C4=NN=CN4)(C(=O)NC=5C=NC=C6C=CC=CC56)C2C1,EDG-MED-ba1ac7b9-9,4,100,EDG-MED-ba1ac7b9-9,Diastereomeric mixture,Z4914836752,H2974439
1181202-Y4-40,05_J,20210310_enamine_to_xchem.csv,FC(F)CN1C[C@@H]2C[C@H]1CN2C(=O)CC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56,EDG-MED-ba1ac7b9-23,4,100,EDG-MED-ba1ac7b9-23,Diastereomeric mixture,Z4914836786,H2974441
1181202-Y4-40,05_K,20210310_enamine_to_xchem.csv,FC(F)(F)C=1C=CC(NC=2C=C(Cl)C=C(CC(=O)NC=3C=NC=C4C=CC=CC34)C2)=NC1,LON-WEI-9739a092-2,4,100,LON-WEI-9739a092-2,Achiral,Z4925948226,H2974433
1181202-Y4-40,05_L,20210310_enamine_to_xchem.csv,ClC=1C=CC=2OCCC(CC(=O)N3CCN(CCC#N)CC3)(C(=O)NC=4C=NC=C5C=CC=CC45)C2C1,ALP-UNI-3496895b-7,4,100,ALP-UNI-8e43a71e-7,Racemic or presumed racemic or meso,Z4914835001,H2976141
1181202-Y4-40,05_M,20210310_enamine_to_xchem.csv,CN1N=NN=C1C2=CCN(CC2)C(=O)CC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56,ALP-POS-5bb456a5-3,4,100,ALP-POS-5bb456a5-3,Racemic or presumed racemic or meso,Z4909940784,H2984093
1181202-Y4-40,05_N,20210310_enamine_to_xchem.csv,CN1C[C@@H]2C[C@H]1CN2C(=O)CC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56,EDG-MED-ba1ac7b9-13,4,100,EDG-MED-ba1ac7b9-13,Diastereomeric mixture,Z4914836762,H2963269
1181202-Y4-40,05_O,20210310_enamine_to_xchem.csv,CN(CC=1C=CC=C2C=CC=CC12)C=3C=C(Cl)C=C(CC(=O)NC=4C=NC=C5C=CC=CC45)C3,LON-WEI-9739a092-8,4,100,LON-WEI-9739a092-8,Achiral,Z4925034867,H2956381
1181202-Y4-40,05_P,20210310_enamine_to_xchem.csv,CN1C=NC=C1CN(C2CC2)C(=O)CC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56,EDG-MED-ba1ac7b9-16,4,100,EDG-MED-ba1ac7b9-16,Racemic or presumed racemic or meso,Z4914836771,H2974437
