Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID
1181202-Y4-57,05_A,20210715_enamine_to_xchem.csv,CS(=O)(=O)NC=1C=CC=2C=NC=C(NC(=O)C3CCS(=O)(=O)C=4C=CC(Cl)=CC34)C2C1,EDJ-MED-d9f3798e-3,4,100,EDJ-MED-d9f3798e-3,Racemic or presumed racemic or meso,Z5115885787,H3249294
1181202-Y4-57,05_B,20210715_enamine_to_xchem.csv,ClC=1C=CC2=C(C1)C(CCS2(=O)=O)C(=O)NC=3C=NN4C=CC=CC34,EDJ-MED-dd2a8363-2,4,100,EDJ-MED-dd2a8363-2,Racemic or presumed racemic or meso,Z5115885795,H3249293
1181202-Y4-57,05_C,20210715_enamine_to_xchem.csv,FC=1C=CC=2C(NC(=O)[C@H]3CCS(=O)(=O)C=4C=CC(Cl)=CC34)=CN=CC2C1,rel-EDJ-MED-b7309adf-1-1,4,100,MAT-POS-86c60949-1,Single unknown enantiomer,Z5128058551,H3261540
1181202-Y4-57,05_D,20210715_enamine_to_xchem.csv,FC=1C=CC=2C(NC(=O)[C@@H]3CCS(=O)(=O)C=4C=CC(Cl)=CC34)=CN=CC2C1,rel-EDJ-MED-b7309adf-1-2,4,100,PET-UNK-2c6614b6-5,Single unknown enantiomer,Z5128044494,H3261541
1181202-Y4-57,05_E,20210715_enamine_to_xchem.csv,CC1(CNC(=O)C=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,RAL-THA-176e263b-4,4,100,RAL-THA-176e263b-4,Racemic or presumed racemic or meso,Z5115885788,H3258326
1181202-Y4-57,05_F,20210715_enamine_to_xchem.csv,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3NC=CC23)C1,JIN-POS-6dc588a4-12,4,100,JIN-POS-6dc588a4-12,Achiral,Z4951865295,H3260604
1181202-Y4-57,05_G,20210715_enamine_to_xchem.csv,CS(=O)(=O)C=1C=CC=2C=NC=C(NC(=O)C3CNC(=O)C=4C(F)=CC(F)=CC34)C2C1,EDJ-MED-827e7cb4-4,4,100,EDJ-MED-827e7cb4-4,Racemic or presumed racemic or meso,Z5060771470,H3250477
1181202-Y4-57,05_H,20210715_enamine_to_xchem.csv,ClC=1C=CC=C(CC(=O)NC2=CN=C3CCCCN23)C1,EDJ-MED-6e43a462-11,4,100,EDJ-MED-6e43a462-11,Achiral,Z2282901478,H3252091
1181202-Y4-57,05_I,20210715_enamine_to_xchem.csv,CC(C)(O)C=1C=CC=2C=NC=C(NC(=O)C3CCNC=4C=CC(Cl)=CC34)C2C1,BEN-DND-d1eb1f41-10,4,100,MAT-POS-86c60949-2,Racemic or presumed racemic or meso,Z5012902033,H3247489
1181202-Y4-57,05_J,20210715_enamine_to_xchem.csv,ClC=1C=CC=2OCC[C@@]3(CC(=O)N(C3=O)C=4C=NC=C5C=CC=CC45)C2C1,rel-BEN-BAS-c2bc0d80-6-1,4,100,VLA-UCB-05e51b3f-5,Single unknown enantiomer,Z5141104122,H3256466
1181202-Y4-57,05_K,20210715_enamine_to_xchem.csv,ClC=1C=CC=2OCC[C@]3(CC(=O)N(C3=O)C=4C=NC=C5C=CC=CC45)C2C1,rel-BEN-BAS-c2bc0d80-6-2,4,100,VLA-UCB-50c39ae8-2,Single unknown enantiomer,Z5141108986,H3256465
1181202-Y4-57,05_L,20210715_enamine_to_xchem.csv,CC1=NC=2C(NC(=O)C3CCOC=4C=CC(Cl)=CC34)=CN=CC2S1,MAT-POS-14f31916-4,4,100,MAT-POS-14f31916-4,Racemic or presumed racemic or meso,Z5028563697,H3257021
1181202-Y4-57,05_M,20210715_enamine_to_xchem.csv,ClC=1C=CC=2OCCC(C(=O)NC=3C=NC=C4C=CC(CN5CC6(CNC6)C5)=CC34)C2C1,ERI-UCB-8d4e5055-5,4,100,MAT-POS-86c60949-3,Racemic or presumed racemic or meso,Z5012902013,H3246253
1181202-Y4-57,05_N,20210715_enamine_to_xchem.csv,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3ON=CC23)C1,PET-UNK-b1ef24dc-3,4,100,PET-UNK-b1ef24dc-3,Achiral,Z5032732280,H3242972
