Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID
1181202-Y4-28,05_A,20201117_enamine_to_xchem.csv,CCC(=O)NC=1C=CC(=CC1)N(CC=2C=CC=CC2)C(=O)N3N=NC=4C=CC=CC34,ALP-POS-a1bdc92a-1,4,100,ALP-POS-a1bdc92a-1,Achiral,Z4754686018,H2734487
1181202-Y4-28,05_B,20201117_enamine_to_xchem.csv,ClC=1C=CC=C(NC(=O)CC=2C=NC=C3C=CC=CC23)C1,PET-UNK-8922bd3c-1,4,100,PET-UNK-8922bd3c-1,Achiral,Z4762132908,H2747614
1181202-Y4-28,05_C,20201117_enamine_to_xchem.csv,COC=1C=CC(=CC1S(=O)(=O)NC=2C=CC=C3C=CC=NC23)N4C(=O)CCS4(=O)=O,LON-WEI-5e7d1b3e-41,4,100,LON-WEI-4d77710c-41,Achiral,Z3220648995,*R2375821*
1181202-Y4-28,05_D,20201117_enamine_to_xchem.csv,COC=1C=C2CCN(C(C)C2=CC1OC)C(=O)NC3=CN(C)C(=O)C=4C=CC=CC34,LON-WEI-5e7d1b3e-33,4,100,LON-WEI-4d77710c-33,Racemic or presumed racemic or meso,Z3220620971,*R2375797*
1181202-Y4-28,05_E,20201117_enamine_to_xchem.csv,CC(C)CN1C=C(NC(=O)NC=2C=CC(C)=CC2Br)C=3C=CC=CC3C1=O,LON-WEI-5e7d1b3e-4,4,100,LON-WEI-4d77710c-4,Achiral,Z3220635990,*R2375638*
1181202-Y4-28,05_F,20201117_enamine_to_xchem.csv,CC=1C=CC=CC1NC(=O)CC2SC(=O)N(C2=O)C=3C=CC=CC3,LON-WEI-5e7d1b3e-75,4,100,LON-WEI-4d77710c-75,Racemic or presumed racemic or meso,Z57179924,*R2375914*
1181202-Y4-28,05_G,20201117_enamine_to_xchem.csv,CC(C)CN1C=C(NC(=O)NCC2=CC=CO2)C=3C=CC=CC3C1=O,LON-WEI-5e7d1b3e-44,4,100,LON-WEI-4d77710c-44,Achiral,Z2735298792,*R2375810*
1181202-Y4-28,05_H,20201117_enamine_to_xchem.csv,COC(=O)C1=C(NCCCC=2C=CC=CC2)C=3C=C(F)C=CC3NC1=O,LON-WEI-5e7d1b3e-14,4,100,MAT-POS-b5746674-78,Achiral,Z3240894064,*R2378192*
1181202-Y4-28,05_I,20201117_enamine_to_xchem.csv,CC(C)OCCCN(CC1=CC=CO1)C(=O)NC2=CN(C)C(=O)C=3C=CC=CC23,LON-WEI-5e7d1b3e-57,4,100,MAT-POS-b5746674-38,Achiral,Z3220621009,*R2375761*
1181202-Y4-28,05_J,20201117_enamine_to_xchem.csv,Cl.Cl.Cl.CC(C)CN1C=C(NC(=O)NCCC=2C(C)=NOC2C)C=3C=CC=CC3C1=O,LON-WEI-5e7d1b3e-51,4,100,LON-WEI-4d77710c-51,Achiral,Z4752035391,*R2375834*
1181202-Y4-28,05_K,20201117_enamine_to_xchem.csv,CC(C)CN1C=C(NC(=O)NCCCN2CCC(C)CC2)C=3C=CC=CC3C1=O,LON-WEI-5e7d1b3e-60,4,100,MAT-POS-2492181e-6,Achiral,Z3220636206,*R2375749*
1181202-Y4-28,05_L,20201117_enamine_to_xchem.csv,COC=1C=CC=2N=C(NC(=O)NC3=CN(CC(C)C)C(=O)C=4C=CC=CC34)SC2C1,LON-WEI-5e7d1b3e-58,4,100,LON-WEI-4d77710c-58,Achiral,Z2583384950,*R2375757*
1181202-Y4-28,05_M,20201117_enamine_to_xchem.csv,FC=1C(Cl)=CC=CC1CSC=2C=CC=CC2NS(=O)(=O)C=3C=C(Cl)SC3Cl,LON-WEI-5e7d1b3e-64,4,100,LON-WEI-4d77710c-64,Achiral,Z3291474324,*R2375902*
1181202-Y4-28,05_N,20201117_enamine_to_xchem.csv,CC=1C=C(C)C(C#N)=C(SC=2N=CN=C3N(CC=4C=CC=CC4)N=NC23)N1,LON-WEI-5e7d1b3e-73,4,100,LON-WEI-4d77710c-73,Achiral,Z3293404762,*R2375906*
1181202-Y4-28,05_O,20201117_enamine_to_xchem.csv,CC(C)N(C(C)C)C(=O)CC1=C(O)C=2C=CC=CC2NC1=O,LON-WEI-5e7d1b3e-3,4,100,LON-WEI-4d77710c-3,Achiral,Z2734819853,*R2375650*
1181202-Y4-28,05_P,20201117_enamine_to_xchem.csv,COC=1C=CC(OC)=C(CNC(=O)NC2=CN(CC(C)C)C(=O)C=3C=CC=CC23)C1,LON-WEI-5e7d1b3e-28,4,100,LON-WEI-4d77710c-28,Achiral,Z3220635996,*R2375774*
