Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID,"Amount, mg (left)"
1181202-Y4-33,05_A,20210114_enamine_to_xchem.csv,ClC=1C=CC=C(C1)N2CCN(CC2)C(=O)C3CC(=O)NC=4C=CC=CC34,MAT-POS-450cb4f9-1,4,100,MAT-POS-450cb4f9-1,Racemic or presumed racemic or meso,Z227999112,H2796707,UNK
1181202-Y4-33,05_B,20210114_enamine_to_xchem.csv,ClC=1C=CC=2OCCC(C(=O)NC3=NNC=4C=CN=CC34)C2C1,JAG-UCB-52b62a6f-16,4,100,JAG-UCB-52b62a6f-16,Racemic or presumed racemic or meso,Z4661830693,H2817208,UNK
1181202-Y4-33,05_C,20210114_enamine_to_xchem.csv,ClC=1C=CC=2OCCC(C(=O)NC3CNC(=O)C3)C2C1,MIC-UNK-42806bd5-3,4,100,MIC-UNK-42806bd5-3,Diastereomeric mixture,Z1677872704,H2796615,UNK
1181202-Y4-33,05_D,20210114_enamine_to_xchem.csv,CC=1C=CC(=NC1)N(CC2=CSC=N2)C(=O)CC=3C=NC=C4C=CC=CC34,ALP-POS-c3a96089-2,4,100,ALP-POS-c3a96089-2,Achiral,Z4763834271,H2809843,UNK
1181202-Y4-33,05_E,20210114_enamine_to_xchem.csv,ClC=1C=CC=2OCCN(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,BEN-DND-f2e727cd-1,4,100,BEN-DND-f2e727cd-1,Achiral,Z4765682195,H2826935,UNK
1181202-Y4-33,05_F,20210114_enamine_to_xchem.csv,Cl.Cl.NC[C@@]1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,rel-EDG-MED-971238d3-5-2,4,100,MAT-POS-2bb0cf2b-1,Single known enantiomer,Z4881315612,H2828527,UNK
1181202-Y4-33,05_G,20210114_enamine_to_xchem.csv,CN1C=NC=2C=NC=C(NC(=O)C3CCOC=4C=CC(Cl)=CC34)C12,rac-EDJ-MED-fb4b7746-1,4,100,MAT-POS-2bb0cf2b-2,Racemic or presumed racemic or meso,Z4780165432,H2821636,UNK
1181202-Y4-33,05_H,20210114_enamine_to_xchem.csv,Cl.Cl.NC[C@]1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,rel-EDG-MED-971238d3-5-1,4,100,EDG-MED-971238d3-5,Single known enantiomer,Z4881315609,H2828534,UNK
1181202-Y4-33,05_I,20210114_enamine_to_xchem.csv,CC(=O)N1CCC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC14,ALP-POS-966f8da6-2,4,100,ALP-POS-966f8da6-2,Racemic or presumed racemic or meso,Z4765682203,H2820582,UNK
1181202-Y4-33,05_J,20210114_enamine_to_xchem.csv,ClC=1C=CC=2OCCC(C(=O)N(C(=O)C=C)C=3C=NC=C4C=CC=CC34)C2C1,Z4767481776,4,100,MAT-POS-090737b9-1,Racemic or presumed racemic or meso,Z4767481776,H2832066,UNK
