Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID
1303528-Y4-03,05_A,20210317_enamine_to_xchem.csv,ClC=1C=CC=C(CC(=O)NC2C(=O)NC=3C=CC=CC23)C1,VLA-UCB-1dbca3b4-1,4,100,VLA-UCB-1dbca3b4-1,Racemic or presumed racemic or meso,Z1738381336,H2571298
1303528-Y4-03,05_B,20210317_enamine_to_xchem.csv,CN1CCC=2C=CC(Cl)=CC2C1C(=O)NC=3C=NC=C4C=CC=CC34,MAT-POS-fb82b63d-3,4,100,MAT-POS-fb82b63d-3,Racemic or presumed racemic or meso,Z4925948214,H2994002
1303528-Y4-03,05_C,20210317_enamine_to_xchem.csv,CCC=1C=C(Cl)C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,PET-UNK-bb7ffe78-1,4,100,PET-UNK-bb7ffe78-1,Achiral,Z4943083681,H2996399
1303528-Y4-03,05_D,20210317_enamine_to_xchem.csv,ClC=1C=CC=2CCNC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,MAT-POS-fb82b63d-1,4,100,MAT-POS-fb82b63d-1,Racemic or presumed racemic or meso,Z4925948213,H2990724
1303528-Y4-03,05_E,20210317_enamine_to_xchem.csv,CCCC=1C=C(Cl)C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,PET-UNK-bb7ffe78-3,4,100,PET-UNK-bb7ffe78-3,Achiral,Z4943083686,H2994008
1303528-Y4-03,05_F,20210317_enamine_to_xchem.csv,ClC=1C=CC2=C(C1)C(CCS2(=O)=O)C(=O)NC=3C=NC=C4C=CC=CC34,MIC-UNK-91acba05-3,4,100,MIC-UNK-91acba05-3,Racemic or presumed racemic or meso,Z4909940759,H2996721
1303528-Y4-03,05_G,20210317_enamine_to_xchem.csv,CN1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,BEN-DND-f2e727cd-6,4,100,BEN-DND-f2e727cd-6,Racemic or presumed racemic or meso,Z4886054145,H2992765
1303528-Y4-03,05_H,20210317_enamine_to_xchem.csv,CS(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,MAT-POS-dd3ad2b5-4,4,100,MAT-POS-dd3ad2b5-4,Racemic or presumed racemic or meso,Z4943083708,H2996716
1303528-Y4-03,05_I,20210317_enamine_to_xchem.csv,ClC=1C=CC=2OCCC(CC(=O)N3CCCC3CN4C=CN=C4)(C(=O)NC=5C=NC=C6C=CC=CC56)C2C1,EDG-MED-ba1ac7b9-21,4,100,EDG-MED-ba1ac7b9-21,Diastereomeric mixture,Z4914836781,H2980421
1303528-Y4-03,05_J,20210317_enamine_to_xchem.csv,CNC(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,MAT-POS-dd3ad2b5-5,4,100,MAT-POS-dd3ad2b5-5,Racemic or presumed racemic or meso,Z4943083709,H2999570
1303528-Y4-03,05_K,20210317_enamine_to_xchem.csv,ClC=1C=C(C#N)C=2NCCC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,ALP-POS-fe871b40-2,4,100,ALP-POS-fe871b40-2,Racemic or presumed racemic or meso,Z4917828875,H3000265
1303528-Y4-03,05_L,20210317_enamine_to_xchem.csv,CC(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,MAT-POS-dd3ad2b5-2,4,100,MAT-POS-dd3ad2b5-2,Racemic or presumed racemic or meso,Z4943083702,H2999572
1303528-Y4-03,05_M,20210317_enamine_to_xchem.csv,CO[C@@]1(CCOC=2C=C(F)C(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,rel-ALP-POS-fe871b40-11-2,4,100,MAT-POS-993cdc78-1,Single unknown enantiomer,Z4930326916,H3000881
1303528-Y4-03,05_N,20210317_enamine_to_xchem.csv,CO[C@]1(CCOC=2C=C(F)C(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,rel-ALP-POS-fe871b40-11-1,4,100,MAT-POS-993cdc78-2,Single unknown enantiomer,Z4930326917,H3000880
1303528-Y4-03,05_O,20210317_enamine_to_xchem.csv,ClC=1C=CC=2OCCC3(CCCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1,ALP-POS-e0fe77e5-7,4,100,ALP-POS-477dc5b7-5,Racemic or presumed racemic or meso,Z4909940771,T8729272
1303528-Y4-03,05_P,20210317_enamine_to_xchem.csv,CS(=O)(=O)C=1C=CC=2C=NC=C(NC(=O)C3CCNC=4C=C(Cl)C(Cl)=CC34)C2C1,rac-EDJ-MED-611d11e7-2,4,100,ALP-UNI-8d415491-5,Racemic or presumed racemic or meso,Z4943083745,H2998208
1303528-Y4-03,05_Q,20210317_enamine_to_xchem.csv,ClC=1C=CC=2OCCC(CC(=O)N3CCC4CS(=O)(=O)CC4C3)(C(=O)NC=5C=NC=C6C=CC=CC56)C2C1,KAD-UNI-80f122c8-3,4,100,KAD-UNI-80f122c8-3,Diastereomeric mixture,Z4898404656,H2996723
1303528-Y4-03,05_R,20210317_enamine_to_xchem.csv,ClC=1C=CC=2OCCC(CC(=O)N3CCCC3C4=NN=NN4)(C(=O)NC=5C=NC=C6C=CC=CC56)C2C1,EDG-MED-ba1ac7b9-12,4,100,EDG-MED-ba1ac7b9-12,Diastereomeric mixture,Z4914836759,H2974443
1303528-Y4-03,05_S,20210317_enamine_to_xchem.csv,ClC=1C=CC=C(C1)[C@H]2CCN(C2=O)C=3C=NC=C4C=CC=CC34,rel-EDG-MED-5d232de5-7,4,100,EDG-MED-5d232de5-7,Single unknown enantiomer,Z4906876488,H2959978
