Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID,"Amount, mg (left)"
1181202-Y4-18,05_A,20200915_enamine_to_xchem.csv,Cn1c(C(NC(=O)Cc2cc3ccccc3[nH]2)c2cccc(Cl)c2)nc2ccccc21,ALP-POS-ddb41b15-8,4,100,,Racemic or presumed racemic or meso,Z4644073939,UNK,UNK
1181202-Y4-18,05_B,20200915_enamine_to_xchem.csv,COC=1C=CC=2C=NC=C(NC(=O)CC=3C=CC=C(Cl)C3)C2C1,EDJ-MED-00c1612e-1,4,100,,Achiral,Z4598700231,UNK,UNK
1181202-Y4-18,05_C,20200915_enamine_to_xchem.csv,CCOC(=O)C1=CC(=NN1)C=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2,MAT-POS-f42f3716-9,4,100,,Achiral,Z4609618473,UNK,UNK
1181202-Y4-18,05_D,20200915_enamine_to_xchem.csv,CC(C(=O)NC=1C=NC=CC1C)C=2C=C(Cl)C=C(OC3CC(=O)N3)C2,TRY-UNI-2eddb1ff-8,4,100,,Diastereomeric mixture,Z4497196460,UNK,UNK
1181202-Y4-18,05_E,20200915_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(C2)C=3C=NN(C)C3C(F)F,MAT-POS-f42f3716-7,4,100,,Achiral,Z4609618468,UNK,UNK
1181202-Y4-18,05_F,20200915_enamine_to_xchem.csv,COC=1C=CC=C(OC=2C=C(Cl)C=C(NC(=O)CC=3C=NC=C4C=CC=CC34)C2)N1,MAT-POS-6344a35d-1,4,100,,Achiral,Z4607377228,UNK,UNK
1181202-Y4-18,05_G,20200915_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(C2)C=3C=CC(=CC3)C4(C)CCO4,MAT-POS-f42f3716-5,4,100,,Racemic or presumed racemic or meso,Z4609618460,UNK,UNK
1181202-Y4-18,05_H,20200915_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(OCC=3C=CC(OCC=4C=CC=CC4F)=CC3)C2,CHO-MSK-6e55470f-21,4,100,,Achiral,Z4623427647,UNK,UNK
1181202-Y4-18,05_I,20200915_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(OCC3=NN(C(=O)OC(C)(C)C)C=4C=CC=CC34)C2,CHO-MSK-6e55470f-24,4,100,CHO-MSK-6e55470f-24,Achiral,Z4623427639,UNK,UNK
1181202-Y4-18,05_J,20200915_enamine_to_xchem.csv,CCOC(=O)C1=C(COC=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2)OC=4C=CC=CC14,CHO-MSK-6e55470f-17,4,100,,Achiral,Z4623427653,UNK,UNK
1181202-Y4-18,05_K,20200915_enamine_to_xchem.csv,COC=1C=C(COC=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2)C=CC1OC(F)F,CHO-MSK-6e55470f-14,4,100,,Achiral,Z4623427659,UNK,UNK
1181202-Y4-18,05_L,20200915_enamine_to_xchem.csv,CC1=NOC(COC=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2)=N1,CHO-MSK-6e55470f-5,4,100,,Achiral,Z4623427664,UNK,UNK
1181202-Y4-18,05_M,20200915_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(OC3COC3)C2,WIL-MOD-03b86a88-4,4,100,,Achiral,Z4609618524,UNK,UNK
