Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID,"Amount, mg (left)"
1181202-Y4-41,A05,20210324_enamine_to_xchem.csv,ClC=1C=C2NCCC(C(=O)NC=3C=NC=C4C=CN=CC34)C2=CC1Cl,ALP-UNI-8d415491-4,4,100,ALP-UNI-8d415491-4,Racemic or presumed racemic or meso,Z4949474114,H3018034,UNK
1181202-Y4-41,B05,20210324_enamine_to_xchem.csv,ClC=1C=C2NCCC(C(=O)NC=3C=NC=C4C=NC=CC34)C2=CC1Cl,ALP-UNI-8d415491-3,4,100,ALP-UNI-8d415491-3,Racemic or presumed racemic or meso,Z4949474113,H3018048,UNK
1181202-Y4-41,C05,20210324_enamine_to_xchem.csv,NC(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,MAT-POS-dd3ad2b5-3,4,100,MAT-POS-dd3ad2b5-3,Racemic or presumed racemic or meso,Z4943083706,H3006814,UNK
1181202-Y4-41,D05,20210324_enamine_to_xchem.csv,NC(=O)C1CC=2NC=NC2CN1C(=O)CC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56,EDG-MED-ba1ac7b9-22,4,100,EDG-MED-ba1ac7b9-22,Diastereomeric mixture,Z4914836784,H3007776,UNK
1181202-Y4-41,E05,20210324_enamine_to_xchem.csv,ClC=1C=CC=2OCCC3(OC(=O)N(C3=O)C=4C=NC=C5C=CC=CC45)C2C1,MAT-POS-90505e2b-1,4,100,MAT-POS-90505e2b-1,Racemic or presumed racemic or meso,Z4943083695,H3013174,UNK
1181202-Y4-41,F05,20210324_enamine_to_xchem.csv,COC=1C=CN=CC1NC(=O)CC=2C=CC=C(Cl)C2,JIN-POS-6dc588a4-3,4,100,JIN-POS-6dc588a4-3,Achiral,Z1079752314,H3014127,UNK
1181202-Y4-41,G05,20210324_enamine_to_xchem.csv,CC1CN(CCC1NC(=O)CC2(CCOC=3C=CC(Cl)=CC32)C(=O)NC=4C=NC=C5C=CC=CC45)S(=O)(=O)C,ALP-POS-5bb456a5-1,4,100,ALP-POS-5bb456a5-1,Diastereomeric mixture,Z4909940782,H3007783,UNK
1181202-Y4-41,H05,20210324_enamine_to_xchem.csv,CC(=O)NC(C(=O)NC=1C=NC=C2C=CC=CC12)C=3C=CC=C(Cl)C3,EDJ-MED-cf4b0d25-4,4,100,EDJ-MED-cf4b0d25-4,Racemic or presumed racemic or meso,Z4919009683,H3011869,UNK
1181202-Y4-41,I05,20210324_enamine_to_xchem.csv,COC=1C=CC=2C=NC=C(NC(=O)C3(CCOC=4C=CC(Cl)=CC43)OC)C2C1,rac- EDJ-MED-611d11e7-7,4,100,MAT-POS-96f51285-1,Racemic or presumed racemic or meso,Z4943083740,H3005125,UNK
1181202-Y4-41,J05,20210324_enamine_to_xchem.csv,COC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC(=CC34)S(=O)(=O)C,rac-EDJ-MED-611d11e7-1,4,100,MAT-POS-96f51285-2,Racemic or presumed racemic or meso,Z4943083746,H3005128,UNK
