Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID
1181202-Y4-05,05_A,20200610_enamine_to_xchem.csv,O=C(CC=1C=CC=NC1)NC=2C=CC=C(OC3CC(=O)N3)C2,RAL-MED-2de63afb-1,4,100,RAL-MED-2de63afb-1,Racemic or presumed racemic or meso,Z4497196437,UNK
1181202-Y4-05,05_B,20200610_enamine_to_xchem.csv,CC=1C=CN=CC1C2=NN=C(O2)C=3C=CC=C(Cl)C3,JAN-GHE-83b26c96-24,4,100,JAN-GHE-83b26c96-24,Achiral,Z1663987506,UNK
1181202-Y4-05,05_C,20200610_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=NC=C(C#N)C2,TRY-UNI-2eddb1ff-1,4,100,TRY-UNI-2eddb1ff-1,Achiral,Z4497196465,UNK
1181202-Y4-05,05_D,20200610_enamine_to_xchem.csv,CC=1C=C(C=CC1OCC(O)CN2C=NC=CC2=O)C(C)(C)C,Z1347557460,4,100,FRA-BIO-8bf1eac9-7,Racemic or presumed racemic or meso,Z1347557460,UNK
1181202-Y4-05,05_E,20200610_enamine_to_xchem.csv,CCN1CCN(CC=2C=CC=CC2CNC(=O)C3(C)CCN3C(=O)OC(C)(C)C)CC1,Z4498832235,4,100,FRA-BIO-8bf1eac9-3,Racemic or presumed racemic or meso,Z4498832235,UNK
1181202-Y4-05,05_F,20200610_enamine_to_xchem.csv,CC(C)C=1N=CN=CC1NC(=O)C(C)C=2C=CC=C(Cl)C2,JAN-GHE-83b26c96-6,4,100,JAN-GHE-83b26c96-6,Racemic or presumed racemic or meso,Z3615034901,UNK
1181202-Y4-05,05_G,20200610_enamine_to_xchem.csv,CC(C(=O)NC=1C=NC=CC1N2C=CC=N2)C=3C=CC=C(Cl)C3,JAN-GHE-83b26c96-3,4,100,JAN-GHE-83b26c96-3,Racemic or presumed racemic or meso,Z1264534125,UNK
1181202-Y4-05,05_H,20200610_enamine_to_xchem.csv,CC(=O)NCC=1C=CC=C(NC(=O)CC=2C=NC=NC2)C1,RAL-MED-2de63afb-12,4,100,RAL-MED-2de63afb-12,Achiral,Z4497196435,UNK
1181202-Y4-05,05_I,20200610_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(OC3CC(=O)N3)C2,TRY-UNI-2eddb1ff-7,4,100,TRY-UNI-2eddb1ff-7,Racemic or presumed racemic or meso,Z4497196461,UNK
1181202-Y4-05,05_J,20200610_enamine_to_xchem.csv,O=C(N1CCOC(CN2CCOCC2)C1)C3=CC=4SC=CC4S3,JAR-KUA-672-1,4,100,JAR-KUA-672ec752-1,Racemic or presumed racemic or meso,Z2782173902,UNK
1181202-Y4-05,05_K,20200610_enamine_to_xchem.csv,CC=1C=C(NC(=O)CC=2C=NC=NC2)C=C(OC3CC(=O)N3)C1,RAL-MED-2de63afb-2,4,100,RAL-MED-2de63afb-2,Racemic or presumed racemic or meso,Z4497196429,UNK
1181202-Y4-05,05_L,20200610_enamine_to_xchem.csv,CC=1C=CC(NCC=2C=C(NC(=O)OC(C)(C)C)C=CC2Br)=CN1,Z4498832237,4,100,FRA-BIO-8bf1eac9-6,Achiral,Z4498832237,UNK
1181202-Y4-05,05_M,20200610_enamine_to_xchem.csv,ClC=1C=CC=2OCCC(C(=O)NC3=NN=CN3C4CC4)C2C1,JAG-UCB-a3ef7265-20,4,100,JAG-UCB-a3ef7265-20,Racemic or presumed racemic or meso,Z2077725504,UNK
1181202-Y4-05,05_N,20200610_enamine_to_xchem.csv,CC=1C=C2OCC(C(=O)NC=3C=NC=NC3N4C=CC=N4)C2=CC1C,JAG-UCB-a3ef7265-24,4,100,JAG-UCB-a3ef7265-24,Racemic or presumed racemic or meso,Z1715965908,UNK
1181202-Y4-05,05_O,20200610_enamine_to_xchem.csv,CC(C1=NC(C)=NO1)S(=O)(=O)CC=2C=CC=C(C2)C(F)(F)F,JAG-UCB-a3ef7265-21,4,100,JAG-UCB-a3ef7265-21,Racemic or presumed racemic or meso,Z416902834,UNK
1181202-Y4-05,05_P,20200610_enamine_to_xchem.csv,CC(C)C(C(=O)NC=1C=NC=CC1C)C=2C=CC=C(Cl)C2,JAN-GHE-83b26c96-9,4,100,JAN-GHE-83b26c96-9,Racemic or presumed racemic or meso,Z1344037982,UNK
1181202-Y4-05,05_Q,20200610_enamine_to_xchem.csv,FC=1C=C(NC(=O)CC=2C=NC=NC2)C=C(OC3CC(=O)N3)C1,RAL-MED-2de63afb-14,4,100,RAL-MED-2de63afb-14,Racemic or presumed racemic or meso,Z4497196433,UNK
1181202-Y4-05,05_R,20200610_enamine_to_xchem.csv,CCC(C(=O)NC=1C=NN=CC1C)C=2C=CC=C(Cl)C2,JAN-GHE-83b26c96-1,4,100,JAN-GHE-83b26c96-1,Racemic or presumed racemic or meso,Z3083887489,UNK
1181202-Y4-05,05_S,20200610_enamine_to_xchem.csv,CC(C(=O)NC=1C=NC=CC1NC(=O)C)C=2C=CC=C(Cl)C2,JAN-GHE-83b26c96-2,4,100,JAN-GHE-83b26c96-2,Racemic or presumed racemic or meso,Z1739759863,UNK
1181202-Y4-05,05_T,20200610_enamine_to_xchem.csv,O=C(CC=1C=NC=NC1)NC=2C=CC=C(C2)C3CNC(=O)C3,RAL-MED-2de63afb-3,4,100,RAL-MED-2de63afb-3,Racemic or presumed racemic or meso,Z2174393016,UNK
1181202-Y4-05,05_U,20200610_enamine_to_xchem.csv,CCOC(=O)[C@H](CCC=1C=CC=CC1)N[C@@H](C)C(=O)NC=2C=CC=C(CN3CCCC3)C2,Z4498832236,4,100,FRA-BIO-8bf1eac9-4,Single known enantiomer,Z4498832236,UNK
1181202-Y4-05,05_V,20200610_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)C2(CC2)C=3C=CC=C(Cl)C3,JAN-GHE-83b26c96-20,4,100,JAN-GHE-83b26c96-20,Achiral,Z1129286981,UNK
1181202-Y4-05,05_W,20200610_enamine_to_xchem.csv,CC=1C=CN=C(C)C1NC(=O)CC=2C=CC=C(Cl)C2,EDJ-MED-49816e9b-2,4,100,EDJ-MED-49816e9b-2,Achiral,Z2194192724,UNK
1181202-Y4-05,05_X,20200610_enamine_to_xchem.csv,CC1=CC=C(NC(=O)CC2=CC3=CC=CNC3=N2)S1,DAR-DIA-842-18,4,100,DAR-DIA-842b4336-18,Achiral,Z4452238001,UNK
