Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID,"Amount, mg (left)"
1181202-Y4-22,05_A,20201006_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)[C@@H]2CCOC=3C=CC(Cl)=CC23,MAT-POS-b3e365b9-4,4,100,MAT-POS-b3e365b9-4,Single known enantiomer,Z4655841289,UNK,UNK
1181202-Y4-22,05_B,20201006_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)[C@H]2CCOC=3C=CC(Cl)=CC23,MAT-POS-b3e365b9-3,4,100,MAT-POS-b3e365b9-3,Single known enantiomer,Z4655841051,UNK,UNK
1181202-Y4-22,05_C,20201006_enamine_to_xchem.csv,ClC=1C=CN=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,PET-UNK-3c72d439-1,4,100,PET-UNK-3c72d439-1,Achiral,Z4655756147,UNK,UNK
1181202-Y4-22,05_D,20201006_enamine_to_xchem.csv,COC=1C=CC=C(CN2CCN(CC2)C(=O)C3=CC(=O)NC=4C=CC=CC34)C1,ERI-UCB-a0b0dbcb-11,4,100,ERI-UCB-a0b0dbcb-11,Achiral,Z4655756146,UNK,UNK
1181202-Y4-22,05_E,20201006_enamine_to_xchem.csv,O=C(N1CCN(CC1)C=2C=CC=CC2)C=3C=NC=C4C=CC=CC34,MAR-UCB-f313ec4d-6,4,100,MAR-UCB-f313ec4d-6,Achiral,Z734622964,UNK,UNK
1181202-Y4-22,05_F,20201006_enamine_to_xchem.csv,COC=1C=CC=CC1OCCNC(=O)C=2C=NC=C3C=CC=CC23,MAR-UCB-f313ec4d-2,4,100,MAR-UCB-f313ec4d-2,Achiral,Z735046506,UNK,UNK
1181202-Y4-22,05_G,20201006_enamine_to_xchem.csv,ClC=1C=CC=C(CC(C(=O)NN2C=NC=3C=CC=CC23)C=4C=CC(=CC4)N5CCOCC5)C1,ALP-POS-a3de0cb1-12,4,100,ALP-POS-a3de0cb1-12,Racemic or presumed racemic or meso,Z4618924279,UNK,UNK
1181202-Y4-22,05_H,20201006_enamine_to_xchem.csv,ClC=1C=CC=C(C1)N(CCC2CCCCC2)C(=O)CC=3C=NC=C4C=CC=CC34,MAT-POS-173a45da-1,4,100,MAT-POS-173a45da-1,Achiral,Z4654068035,UNK,UNK
1181202-Y4-22,05_I,20201006_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)C(C(=O)C2=CC(=O)NC=3C=CC=CC23)C=4C=CC=C(Cl)C4,ALP-POS-ddb41b15-1,4,100,,Racemic or presumed racemic or meso,Z4661216507,UNK,UNK
1181202-Y4-22,05_J,20201006_enamine_to_xchem.csv,CN1C=C(CN(C(=O)CN2N=NC=3C=CC=CC23)C=4C=CC(=CC4)N5CCCCC5)C=N1,ALP-POS-7c842ab8-1,4,100,ALP-POS-7c842ab8-1,Achiral,Z4657502918,UNK,UNK
1181202-Y4-22,05_K,20201006_enamine_to_xchem.csv,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(OC=4C=CC=NC4)C1,MAT-POS-9ff17035-3,4,100,MAT-POS-9ff17035-3,Achiral,Z4606129269,UNK,UNK
1181202-Y4-22,05_L,20201006_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(NC3CCC(F)(F)C3O)C2,MAT-POS-044491d2-2,4,100,MAT-POS-044491d2-2,Racemic or presumed racemic or meso,Z4609618439,UNK,UNK
1181202-Y4-22,05_M,20201006_enamine_to_xchem.csv,ClC=1C=CC=C(C1)C2CCN(C2=O)C=3C=NC=C4C=CC=CC34,PET-UNK-c9c1e0d8-4,4,100,PET-UNK-c9c1e0d8-4,Racemic or presumed racemic or meso,Z4598700239,UNK,UNK
