Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID,"Amount, mg (left)"
1181202-Y4-42,A05,20210331_enamine_to_xchem.csv,ClC=1C=C(OCC=2C=CC=CC2)C=3OCCC(C(=O)NC=4C=NC=C5C=CC=CC45)C3C1,DAR-DIA-0587064e-19,4,100,DAR-DIA-0587064e-19,Racemic or presumed racemic or meso,Z4949565733,H3013712,UNK
1181202-Y4-42,B05,20210331_enamine_to_xchem.csv,FC=1C=C2OCCC(C(=O)NC=3C=NC=C4C=CN=CC34)C2=CC1Cl,rac-EDJ-MED-611d11e7-12,4,100,MAT-POS-a5ef2d74-1,Racemic or presumed racemic or meso,Z4943083733,H3021835,UNK
1181202-Y4-42,C05,20210331_enamine_to_xchem.csv,COC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC(F)=CC34,rac-EDJ-MED-611d11e7-4,4,100,MAT-POS-a5ef2d74-2,Racemic or presumed racemic or meso,Z4943083744,H3014846,UNK
1181202-Y4-42,D05,20210331_enamine_to_xchem.csv,ClC=1C=C2NCCC(C(=O)NC=3C=NC=C4CCCCC34)C2=CC1Cl,ALP-UNI-8d415491-2,4,100,ALP-UNI-8d415491-2,Racemic or presumed racemic or meso,Z4949474110,H3020603,UNK
1181202-Y4-42,E05,20210331_enamine_to_xchem.csv,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3SC=CC23)C1,JIN-POS-6dc588a4-22,4,100,JIN-POS-6dc588a4-22,Achiral,Z4951847510,H3020599,UNK
1181202-Y4-42,F05,20210331_enamine_to_xchem.csv,ClC=1C=C2NCCC(C(=O)NC=3C=NC=CC3C4CC4)C2=CC1Cl,ALP-UNI-8d415491-1,4,100,ALP-UNI-8d415491-1,Racemic or presumed racemic or meso,Z4949474107,H3020044,UNK
1181202-Y4-42,G05,20210331_enamine_to_xchem.csv,ClC=1C=C(OCC=2C=CN=CC2)C=3OCCC(C(=O)NC=4C=NC=C5C=CC=CC45)C3C1,MAT-POS-5369c344-7,4,100,MAT-POS-5369c344-7,Racemic or presumed racemic or meso,Z4949565737,H3021824,UNK
1181202-Y4-42,H05,20210331_enamine_to_xchem.csv,FC=1C=CC=2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=CC2C1,JIN-POS-6dc588a4-11,4,100,JIN-POS-6dc588a4-11,Achiral,Z4951847502,H3029526,UNK
1181202-Y4-42,I05,20210331_enamine_to_xchem.csv,CC=1C=CC=2C=NC=C(NC(=O)CC=3C=CC=C(Cl)C3)C2C1,RUB-POS-1325a9ea-4,4,100,RUB-POS-1325a9ea-4,Achiral,Z4951847515,H3029523,UNK
1181202-Y4-42,J05,20210331_enamine_to_xchem.csv,CN1C=CN=C1CN(C2CC2)C(=O)CC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56,EDG-MED-ba1ac7b9-17,4,100,EDG-MED-ba1ac7b9-17,Racemic or presumed racemic or meso,Z4914836774,H3021851,UNK
1181202-Y4-42,K05,20210331_enamine_to_xchem.csv,CCN(CC=1C=CC(F)=CC1)C=2C=C(Cl)C=C(CC(=O)NC=3C=NC=C4C=CC=CC34)C2,LON-WEI-9739a092-4,4,100,LON-WEI-9739a092-4,Achiral,Z4925948219,H3021859,UNK
1181202-Y4-42,L05,20210331_enamine_to_xchem.csv,CC1N(CCN2C=NN=C12)C(=O)CC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56,EDG-MED-ba1ac7b9-19,4,100,EDG-MED-ba1ac7b9-19,Diastereomeric mixture,Z4914836777,H3021855,UNK
1181202-Y4-42,M05,20210331_enamine_to_xchem.csv,COC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CN=CC34,Z4943083736,4,100,MAT-POS-a5ef2d74-3,Racemic or presumed racemic or meso,Z4943083736,H3021825,UNK
1181202-Y4-42,N05,20210331_enamine_to_xchem.csv,CC(C)(C)OC=1C=CN=CC1NC(=O)CC=2C=CC=C(Cl)C2,JIN-POS-6dc588a4-6,4,100,JIN-POS-6dc588a4-6,Achiral,Z1501018719,H3022399,UNK
