Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID,"Amount, mg (left)"
1181202-Y4-07,05_A,20200624_enamine_to_xchem.csv,CC(C)(C)C1=CC(=NO1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C=C,LON-WEI-babf2c61-10,4,100,,Racemic or presumed racemic or meso,Z4509080725,UNK,UNK
1181202-Y4-07,05_B,20200624_enamine_to_xchem.csv,COC=1C=CC=2CC(N(CC2C1)C(=O)CCl)C=3C=CC=CC3,NAU-LAT-64f4b287-4,4,100,,Racemic or presumed racemic or meso,Z1562148574,UNK,UNK
1181202-Y4-07,05_C,20200624_enamine_to_xchem.csv,CCN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(=CC34)[N+](=O)[O-],MAT-POS-590ac91e-52,4,100,,Racemic or presumed racemic or meso,Z1222830091,UNK,UNK
1181202-Y4-07,05_D,20200624_enamine_to_xchem.csv,CC1=CN=CN1CC(=O)NC=2C=C(C)C=C(C)C2,JAG-UCB-a3ef7265-12,4,100,,Achiral,Z2697373477,UNK,UNK
1181202-Y4-07,05_E,20200624_enamine_to_xchem.csv,OC=1C=CC(Cl)=CC1NC(=O)CC=2C=CC=NC2,BEN-DND-61647d40-18,4,100,,Achiral,Z1177713653,UNK,UNK
1181202-Y4-07,05_F,20200624_enamine_to_xchem.csv,OC=1C=CC(C#N)=CC1NC(=O)CC=2C=CC=NC2,BEN-DND-61647d40-8,4,100,,Achiral,Z1331696129,UNK,UNK
1181202-Y4-07,05_G,20200624_enamine_to_xchem.csv,CC=1C=C(C)C(C)=C(C1C)S(=O)(=O)N2CCN(CC2)C(=O)C=3C=CNC(=O)C3,BEN-DND-7e92b6ca-8,4,100,,Achiral,Z1418828864,UNK,UNK
1181202-Y4-07,05_H,20200624_enamine_to_xchem.csv,OC=1C=CN=CC1NC(=O)CC=2C=CC=C(Cl)C2,ALP-POS-95b75b4d-6,4,100,,Achiral,Z1085342634,UNK,UNK
1181202-Y4-07,05_I,20200624_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CCC=2C=CC=CC2F,BEN-DND-93268d01-7,4,100,,Achiral,Z1129284855,UNK,UNK
1181202-Y4-07,05_J,20200624_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)C2C3CCOCC23,MAT-POS-590ac91e-28,4,100,,Diastereomeric mixture,Z3080739930,UNK,UNK
1181202-Y4-07,05_K,20200624_enamine_to_xchem.csv,ClC=1C=CC=C(CC(=O)NN2C=NN=C2)C1,JAN-GHE-5a013bed-5,4,100,,Achiral,Z1613796925,UNK,UNK
1181202-Y4-07,05_L,20200624_enamine_to_xchem.csv,COC=1C=CC=CC1OCCNC(=O)C=2C=CNC(=O)C2,BEN-DND-7e92b6ca-1,4,100,,Achiral,Z1419041082,UNK,UNK
1181202-Y4-07,05_M,20200624_enamine_to_xchem.csv,CC1=CN=CN1CC(=O)NC=2C=CC=C(C)N2,JAG-UCB-a3ef7265-14,4,100,,Achiral,Z2699738844,UNK,UNK
1181202-Y4-07,05_N,20200624_enamine_to_xchem.csv,CC=1C=C(C)C=C(CC(=O)NC2=NN=CN2C)C1,JAG-UCB-a3ef7265-18,4,100,,Achiral,Z2636222460,UNK,UNK
1181202-Y4-07,05_O,20200624_enamine_to_xchem.csv,ClC=1C=CC=C(CC(=O)NN2C=NNC2=O)C1,JAN-GHE-5a013bed-4,4,100,,Achiral,Z1613844041,UNK,UNK
1181202-Y4-07,05_P,20200624_enamine_to_xchem.csv,CC1=NN=C(NC(=O)CC=2C=CC=C(Cl)C2F)S1,JAG-UCB-a3ef7265-10,4,100,,Achiral,Z2169605851,UNK,UNK
1181202-Y4-07,05_Q,20200624_enamine_to_xchem.csv,CC=1C=CN=CC1NS(=O)(=O)C=2C=CC=C(Cl)C2,JAN-GHE-83b26c96-21,4,100,,Achiral,Z1381353667,UNK,UNK
1181202-Y4-07,05_R,20200624_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)[C@@H]2CNC(=O)O2,MAT-POS-590ac91e-12,4,100,,Single known enantiomer,Z2627790972,UNK,UNK
1181202-Y4-07,05_S,20200624_enamine_to_xchem.csv,NC=1N=CC(=CN1)S(=O)(=O)NCC=2C=CC=C(Cl)C2,JAG-UCB-ef2c0e8e-5,4,100,,Achiral,Z992433798,UNK,UNK
1181202-Y4-07,05_T,20200624_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)NC=2C=NC=C(C#N)C2,CHR-SOS-363-2,4,100,CHR-SOS-363cfb78-2,Achiral,Z4444621944,UNK,UNK
1181202-Y4-07,05_U,20200624_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)C2(CCOC2)C#N,MAT-POS-590ac91e-27,4,100,,Racemic or presumed racemic or meso,Z2869765276,UNK,UNK
1181202-Y4-07,05_V,20200624_enamine_to_xchem.csv,CC1=NN=C(O1)C2CC=3C=CC=CC3CN2C(=O)CCl,NAU-LAT-64f4b287-5,4,100,,Racemic or presumed racemic or meso,Z1562143134,UNK,UNK
1181202-Y4-07,05_W,20200624_enamine_to_xchem.csv,CC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C(=O)NCCC=3C=CC=C(F)C3,LON-WEI-babf2c61-13,4,100,,Racemic or presumed racemic or meso,Z4509080742,UNK,UNK
1181202-Y4-07,05_X,20200624_enamine_to_xchem.csv,CC(C)(C)C1=CC(=NO1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(Cl)C3)C(=O)C=C,LON-WEI-babf2c61-11,4,100,,Racemic or presumed racemic or meso,Z4509080731,UNK,UNK
1181202-Y4-07,05_Y,20200624_enamine_to_xchem.csv,CC(CC=1C=CC=CC1)C(=O)NC=2C=NC=CC2C,BEN-DND-93268d01-14,4,100,,Racemic or presumed racemic or meso,Z1182403201,UNK,UNK
1181202-Y4-07,05_Z,20200624_enamine_to_xchem.csv,CCS(=O)(=O)N1CCC(CC1)C(=O)NC=2C=C(Cl)C=CC2O,JAG-UCB-ef2c0e8e-6,4,100,,Achiral,Z925903342,UNK,UNK
