Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID,"Amount, mg (left)"
1181202-Y4-17,05_A,20200909_enamine_to_xchem.csv,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3N=CC=CC23)C1,MIC-UNK-08cd9c58-1,4,100,MIC-UNK-08cd9c58-1,Achiral,Z4610110890,UNK,UNK
1181202-Y4-17,05_B,20200909_enamine_to_xchem.csv,CCCCOC=1C=CC(Cl)=CC1CC(=O)NC=2C=NC=CC2C,EDG-MED-0da5ad92-7,4,100,,Achiral,Z4497196450,UNK,UNK
1181202-Y4-17,05_C,20200909_enamine_to_xchem.csv,COC=1C=CC(=CC1)N(CC=2C=CC=CC2)C(=O)CC3=CNC=4C=CC=CC34,ALP-POS-a3de0cb1-15,4,100,ALP-POS-a3de0cb1-15,Achiral,Z89623971,UNK,UNK
1181202-Y4-17,05_D,20200909_enamine_to_xchem.csv,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(OC4CC(=O)N4)C1,ALP-POS-3b848b35-2,4,100,,Racemic or presumed racemic or meso,Z4598673995,UNK,UNK
1181202-Y4-17,05_E,20200909_enamine_to_xchem.csv,CC=1C=CC(=C(F)C1F)C=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2,MAT-POS-f42f3716-6,4,100,MAT-POS-f42f3716-6,Achiral,Z4609618466,UNK,UNK
1181202-Y4-17,05_F,20200909_enamine_to_xchem.csv,COC(=O)C=1C=CC(=C(OC)C1)C=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2,MAT-POS-f42f3716-3,4,100,MAT-POS-f42f3716-3,Achiral,Z4609618453,UNK,UNK
1181202-Y4-17,05_G,20200909_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(C2)C=3C=CC(=CC3Cl)S(=O)(=O)C,MAT-POS-f42f3716-2,4,100,MAT-POS-f42f3716-2,Achiral,Z4609618450,UNK,UNK
1181202-Y4-17,05_H,20200909_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(C2)C=3C=CC(=CC3)C4CC4(F)F,MAT-POS-f42f3716-1,4,100,MAT-POS-f42f3716-1,Racemic or presumed racemic or meso,Z4609618449,UNK,UNK
1181202-Y4-17,05_I,20200909_enamine_to_xchem.csv,CCC=1C=C(F)C=CC1C=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2,MAT-POS-f42f3716-4,4,100,MAT-POS-f42f3716-4,Achiral,Z4609618457,UNK,UNK
1181202-Y4-17,05_J,20200909_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(/C=C(/C=3C=CC=CC3)\C(F)(F)F)C2,MAT-POS-f42f3716-8,4,100,MAT-POS-f42f3716-8,Achiral,Z4609618470,UNK,UNK
1181202-Y4-17,05_K,20200909_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)C(CO)C=2C=CC=C(Cl)C2,EDG-MED-0da5ad92-5,4,100,,Racemic or presumed racemic or meso,Z4497196452,UNK,UNK
1181202-Y4-17,05_L,20200909_enamine_to_xchem.csv,CC=1C=CN=CC1N(CC#N)C(=O)CC=2C=CC=C(Cl)C2,PET-UNK-bbe8d7ff-2,4,100,,Achiral,Z4615338475,UNK,UNK
1181202-Y4-17,05_M,20200909_enamine_to_xchem.csv,C[C@@H](OC(F)F)C(=O)NC=1C=NC=CC1C,MAT-POS-590ac91e-16,4,100,MAT-POS-5d20d11c-1,Single known enantiomer,Z4522568198,UNK,UNK
1181202-Y4-17,05_N,20200909_enamine_to_xchem.csv,C[C@H](OC(F)F)C(=O)NC=1C=NC=CC1C,MAT-POS-590ac91e-17,4,100,MAT-POS-5d20d11c-1,Single known enantiomer,Z4522568183,UNK,UNK
