SMILES,CID,comments,,,,
O=C(Nc1cncc2ccccc12)C1CCOc2c(OCC3CC3)cc(Cl)cc21,DAR-DIA-0587064e-15,P4 library from hydroxy BB there are 9.8 g of,,,,
O=C(Nc1cncc2ccccc12)C1CCOc2c(OCCC(F)(F)F)cc(Cl)cc21,DAR-DIA-0587064e-10,P4 library from hydroxy BB there are 9.8 g of,,,,
O=C(Nc1cncc2ccccc12)C1CCOc2c(OCc3ccccc3)cc(Cl)cc21,DAR-DIA-0587064e-19,P4 library from hydroxy BB there are 9.8 g of,,,,
CCCOc1cc(Cl)cc2c1OCCC2C(=O)Nc1cncc2ccccc12,DAR-DIA-0587064e-12,P4 library from hydroxy BB there are 9.8 g of,,,,
O=C(Nc1cncc2ccccc12)C1CCOc2c(OCc3ccccn3)cc(Cl)cc21,MAT-POS-5369c344-5,P4 library from hydroxy BB there are 9.8 g of,,,,
O=C(Nc1cncc2ccccc12)C1CCOc2c(OCc3cccnc3)cc(Cl)cc21,MAT-POS-5369c344-6,P4 library from hydroxy BB there are 9.8 g of,,,,
O=C(Nc1cncc2ccccc12)C1CCOc2c(OCc3ccncc3)cc(Cl)cc21,MAT-POS-5369c344-7,P4 library from hydroxy BB there are 9.8 g of,,,,
O=C(Nc1cncc2ccccc12)C1(CNc2c[nH]c(=O)[nH]c2=O)CCOc2cc(Cl)ccc21,ALP-POS-a0a4abd7-1,,,,,
O=C(Nc1cncc2ccccc12)C1(CNCc2c[nH]c(=O)[nH]c2=O)CCOc2cc(Cl)ccc21,ALP-POS-6d96567b-1 ,,,,,
O=C(C1CCOc2cc(Cl)ccc21)N(Cc1c[nH]c(=O)[nH]c1=O)c1cncc2ccccc12,ALP-POS-6d96567b-2,,,,,
O=C(C1CCOc2cc(Cl)ccc21)N(CCc1c[nH]c(=O)[nH]c1=O)c1cncc2ccccc12,NIR-THE-5be8b355-1 ,,,,,
