shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID
MAT-POS-8a69d52e-2,Z4748696415,C20H17ClN2O2,Single known enantiomer,352.814,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-02,03_A,"C[C@@H]1C[C@H](C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4O1 |o1:1,3,r|","rel-(2R,4S)-6-chloro-N-(isoquinolin-4-yl)-2-methyl-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2714268
EDJ-MED-e4b030d8-3,Z4748696418,C20H17ClN2O2,Single known enantiomer,352.814,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-02,03_B,"C[C@H]1C[C@@H](C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4O1 |o1:1,3,r|","rel-(2R,4S)-6-chloro-N-(isoquinolin-4-yl)-2-methyl-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2714267
MAT-POS-8a69d52e-3,Z4748696422,C20H17ClN2O2,Single known enantiomer,352.814,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-02,03_C,"C[C@H]1C[C@H](C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4O1 |o1:1,3,r|","rel-(2R,4R)-6-chloro-N-(isoquinolin-4-yl)-2-methyl-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2714269
EDJ-MED-e4b030d8-2,Z4748696420,C20H17ClN2O2,Single known enantiomer,352.814,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-02,03_D,"C[C@@H]1C[C@@H](C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4O1 |o1:1,3,r|","rel-(2R,4R)-6-chloro-N-(isoquinolin-4-yl)-2-methyl-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2714275
MAT-POS-044491d2-7,Z4609618446,C19H21ClN4O,Achiral,356.849,96.59,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-02,03_E,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(NCC(C)(C)C#N)C2,"2-{3-chloro-5-[(2-cyano-2,2-dimethylethyl)amino]phenyl}-N-(4-methylpyridin-3-yl)acetamide",H2715474
JAG-UCB-52b62a6f-4,Z4661830682,C17H13ClFN3O2,Racemic or presumed racemic or meso,345.755,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-02,03_F,FC=1C=CC2=NNC(NC(=O)C3CCOC=4C=CC(Cl)=CC34)=C2C1,"6-chloro-N-(5-fluoro-2H-indazol-3-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2711338
JAG-UCB-52b62a6f-6,Z4661830685,C17H14ClN3O2,Racemic or presumed racemic or meso,327.764,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-02,03_G,ClC=1C=CC=2OCCC(C(=O)NC=3NN=C4C=CC=CC34)C2C1,"6-chloro-N-(2H-indazol-3-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2711344
JAG-UCB-52b62a6f-8,Z4661830655,C18H16ClN3O3,Racemic or presumed racemic or meso,357.790,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-02,03_H,COC=1C=CC2=NNC(NC(=O)C3CCOC=4C=CC(Cl)=CC34)=C2C1,"6-chloro-N-(5-methoxy-2H-indazol-3-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2715333
JAG-UCB-52b62a6f-9,Z4661830684,C17H13ClFN3O2,Racemic or presumed racemic or meso,345.755,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-02,03_I,FC=1C=CC2=C(NC(=O)C3CCOC=4C=CC(Cl)=CC34)NN=C2C1,"6-chloro-N-(6-fluoro-2H-indazol-3-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2711342
JAG-UCB-52b62a6f-12,Z4661830657,C18H16ClN3O3,Racemic or presumed racemic or meso,357.790,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-02,03_J,COC=1C=CC2=C(NC(=O)C3CCOC=4C=CC(Cl)=CC34)NN=C2C1,"6-chloro-N-(6-methoxy-2H-indazol-3-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2711302
