SMILES,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry
OC=1C=C(C(=O)N2CCN(CC2)C=3C=CC=CC3)C=4C=CC=CC4N1,Z27770229,Z27770229,333.38,86.88,4,100,1176370-Y4-01,A05,Achiral
CC(NC(=O)OC(C)(C)C)C=1C=CC(CNC(=O)C=C)=CC1,VIJ-CYC-1a3-10,Z2517217215,304.38,95,4,100,1176370-Y4-01,B05,Racemic or presumed racemic or meso
O=S(=O)(NCCC=1C=CC=CC1)C=2C=COC2,MIH-UNI-6b9-6,Z2068567834,251.3,100,4,100,1176370-Y4-01,C05,Achiral
COC=1C=C(CNC(=O)CC2=NC=CN2)C=3C=CC=CC3N1,BAR-COM-4e0-22,Z2229098908,296.32,84.43,4,100,1176370-Y4-01,D05,Achiral
CN1N=NC=C1CC(=O)NC(C2=NC=3C=CC=CC3N2C)C=4C=CC=CC4,BAR-COM-4e0-6,Z4444622067,360.41,100,4,100,1176370-Y4-01,E05,Racemic or presumed racemic or meso
O=C(NCCN1CCN(CC1)C=2C=CC=CC2)NCC=3C=CC=CN3,TRI-UNI-974-1,Z432464280,339.43,85.61,4,100,1176370-Y4-01,F05,Achiral
O=C(C1CCN(CC1)C=2C=CN=CC2)N3CCS(=O)(=O)CC3,GIA-UNK-30c-3,Z4126661692,323.41,100,4,100,1176370-Y4-01,G05,Achiral
NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CC2)N3CCCCC3,WAR-XCH-b72-10,Z3075633657,323.45,100,4,100,1176370-Y4-01,H05,Achiral
CC(C)N(C)CC1CCN(CC1)C=2C=CC(=CC2)S(=O)(=O)N,WAR-XCH-b72-48,Z3075655616,325.46,100,4,100,1176370-Y4-01,I05,Achiral
CCOCC1CCN(CC1)C=2C=CC(=CC2)S(=O)(=O)N,WAR-XCH-b68-20,Z3076115656,298.4,100,4,100,1176370-Y4-01,J05,Achiral
COCC1CCN(CC1)C=2C=CC(=CC2)S(=O)(=O)N,WAR-XCH-b72-23,Z3076106732,284.37,100,4,100,1176370-Y4-01,K05,Achiral
CN1C=NC=C1CNC(=O)NC=2C=CC=C(OCC(F)F)N2,BAR-COM-4e0-52,Z2167681427,311.28,100,4,100,1176370-Y4-01,L05,Achiral
O=C(C1CCCN1C(=O)C=2C=CC=CC2)N3CCOCC3,GIA-UNK-d2d-6,Z223379308,288.34,100,4,100,1176370-Y4-01,M05,Racemic or presumed racemic or meso
CC(NC(=O)C(CC=1C=CC=CC1)NC(=O)C2=CC=CO2)C3=NC=CO3,BAR-COM-4e0-7,Z4444622212,353.37,100,4,100,1176370-Y4-01,N05,Diastereomeric mixture
CC(OCC1CCCCO1)C(=O)N(CCC=2C=CC=CC2)CC=3C=CC=NC3,BAR-COM-4e0-55,Z890182422,382.49,97,4,100,1176370-Y4-01,O05,Diastereomeric mixture
CC1=CN=C(CC(=O)NC=2C=CC=NC2)O1,DAR-DIA-842-16,Z4444621856,217.22,91,4,100,1176370-Y4-01,P05,Achiral
O=C(CC=1C=CC=CC1OC2CCOC2)OCC3=CNN=N3,BAR-COM-4e0-50,Z2312116536,303.31,100,4,100,1176370-Y4-01,Q05,Racemic or presumed racemic or meso
CC(C)[C@H](NS(=O)(=O)C=1C=CC(CF)=CC1)C#N,VIJ-CYC-1a3-12,Z3294574183,270.32,95,4,100,1176370-Y4-01,R05,Single known enantiomer
CC(NC(=O)C=1C=CC=CC1OC2CCCCC2)C=3C=NC=CN3,BAR-COM-4e0-26,Z3370973906,325.4,96.98,4,100,1176370-Y4-01,S05,Racemic or presumed racemic or meso
NS(=O)(=O)C=1C=CC(=CC1)N2CCSCC2,WAR-XCH-b72-1,Z3075619297,258.36,100,4,100,1176370-Y4-01,T05,Achiral
COC=1C=CC=2N=C(C)C=C(C(=O)NN)C2C1,Z4444621935,Z2750556396,231.25,92.29,4,100,1176370-Y4-01,U05,Achiral
CC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CSC2,MAK-UNK-4c6-1,Z2068569549,274.35,100,4,100,1176370-Y4-01,V05,Achiral
CCC1=NN=NN1C=2C=CC=CC2NC(=O)C3(CC3)C=4C=NC=C(Br)C4,BAR-COM-4e0-16,Z1984028314,413.27,100,4,100,1176370-Y4-01,W05,Achiral
CCSCC1CCN(CC1)C=2C=CC(=CC2)S(=O)(=O)N,WAR-XCH-b72-39,Z4027228808,314.46,100,4,100,1176370-Y4-01,X05,Achiral
CC=1C=CN=CC1NC(=O)NC=2C=CC=CC2,ALE-HEI-f28-1,Z1130395550,227.26,100,4,100,1176370-Y4-01,Y05,Achiral
CC(NC(=O)NC=1C=CC=C(COC2CCCC(C)C2)C1)C3=CC=NN3,BAR-COM-4e0-63,Z1243953601,356.46,95.77,4,100,1176370-Y4-01,Z05,Diastereomeric mixture
NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CC2)NC=3C=CC(F)=CC3,WAR-XCH-b68-26,Z3075683441,349.42,100,4,100,1176370-Y4-01,AA05,Achiral
"CN1CCC(CC1)C(=O)N[C@@H]2CCCC[C@H]2NC(=O)C=3C=CC=CC3 |&1:10,15,r|",GIA-UNK-d2d-4,Z2648339571,343.46,100,4,100,1176370-Y4-01,AB05,Racemic diastereomer with known relative stereochemistry
CCC(NC(=O)NCC=1C=NC=CN1)C=2C=CC=CC2OCC(=O)N3CCCC3,BAR-COM-4e0-27,Z3140017128,397.47,100,4,100,1176370-Y4-01,AC05,Racemic or presumed racemic or meso
CN1C=C(CNC(=O)N(CCC=2C=CC=CC2)CC=3C=CC=NC3)N=N1,BAR-COM-4e0-47,Z1647177193,350.41,97.64,4,100,1176370-Y4-01,AD05,Achiral
CC=1C=C(Cl)C=C(NC(=O)NC=2C=CC=NC2)C1,Z4444622166,Z4444622166,261.7,100,4,100,1176370-Y4-01,AE05,Achiral
O=C(NCC=1C=CC=NN1)NC(CC=2C=CC=CC2)C3=CC=CS3,BAR-COM-4e0-29,Z1884524160,338.42,100,4,100,1176370-Y4-01,AF05,Racemic or presumed racemic or meso
"C[C@@H]1C[C@H]1N2N=NN=C2C=3C=CC=C(C)C3NC(=O)CCC=4C=CC=NC4 |&1:1,3,r|",BAR-COM-4e0-8,Z3089609880,362.42,100,4,100,1176370-Y4-01,A06,Racemic diastereomer with known relative stereochemistry
CC(C(=O)NC=1C=CC=C(OC2CC(=O)N2)C1)C=3C=NC=CN3,BAR-COM-4e0-53,Z2911721571,312.32,97.93,4,100,1176370-Y4-01,B06,Diastereomeric mixture
CS(=O)(=O)NCCCN1CCCC=2C=CC(=CC12)S(=O)(=O)N,PET-SGC-abc-1,Z1317949071,347.45,100,4,100,1176370-Y4-01,C06,Achiral
CCC(C)(C)CCN(CC=1C=CSC1)C(=O)CN2N=NC=3C=CC=CC23,Z4444622209,Z4444622209,370.51,100,4,100,1176370-Y4-01,D06,Achiral
BrC=1N=CC=CC1CC(=O)NC=2C=CC=C(OCCN3C=NC=N3)C2,BAR-COM-4e0-35,Z1937966465,402.24,100,4,100,1176370-Y4-01,E06,Achiral
O=C(CC(=O)NC=1C=CN=CC1)NC=2C=CC=CC2,Z4444622142,Z4444622142,255.27,100,4,100,1176370-Y4-01,F06,Achiral
"NC(=O)[C@@H]1CN(CC=2C=CC=NC2)C[C@H]1C=3C=CC=CC3 |&1:3,14,r|",DUN-NEW-d83-1,Z2330669633,281.35,100,4,100,1176370-Y4-01,G06,Racemic diastereomer with known relative stereochemistry
OC(C(=O)NC=1C=CC=C(C1)C2=CC=NN2)C=3C=CC=NC3,BAR-COM-4e0-68,Z1177593728,294.3,100,4,100,1176370-Y4-01,H06,Racemic or presumed racemic or meso
FC=1C=CC(F)=C(C1)S(=O)(=O)NC=2C=CC=CC2C(=O)NCCNC=3C=CC=NN3,BAR-COM-4e0-10,Z1232257154,433.43,85,4,100,1176370-Y4-01,I06,Achiral
CC(=O)N1CCN(CC=2C=C(O)C=C(Cl)C2)CC1,KIM-UNI-2ee-1,Z2967471722,268.73,91.99,4,100,1176370-Y4-01,J06,Achiral
O=C(C1CCN(CC1)C=2C=CN=CC2)N3CCCCC3,GIA-UNK-30c-1,Z1317599025,273.37,96.75,4,100,1176370-Y4-01,K06,Achiral
CS(=O)(=O)NCCC=1C=CC=CC1O,ANT-DIA-b7f-3,Z1247415264,215.26,90.57,4,100,1176370-Y4-01,L06,Achiral
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C2(C)CC2)C=3C=CC=NC3,Z4444602562,Z4444602562,391.5,100,4,100,1176370-Y4-01,M06,Racemic or presumed racemic or meso
CC1(CC1)C=2C=CC(=CC2)N(C(C(=O)NC=3C=CC(Cl)=CC3)C=4C=CC=NC4)C(=O)C=C,Z4444602570,Z4444602570,445.94,83.75,4,100,1176370-Y4-01,N06,Racemic or presumed racemic or meso
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3)=C(C)C1,Z4438424249,Z4438424249,457.56,100,4,100,1176370-Y4-01,O06,Racemic or presumed racemic or meso
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C3(C)CC3)C=4C=CC=NC4)=C(C)C1,Z4444602596,Z4444602596,455.54,100,4,100,1176370-Y4-01,P06,Racemic or presumed racemic or meso
CC1CC(C)CN(C1)C(=O)C=2C=CC=CC2NC(=O)NCC=3C=COC3,BAR-COM-4e0-44,Z433322264,355.43,95.17,4,100,1176370-Y4-01,Q06,Diastereomeric mixture
O=C(C1CCN(CC1)C=2C=CN=CC2)N3CCOCC3,GIA-UNK-30c-2,Z1317604631,275.34,100,4,100,1176370-Y4-01,R06,Achiral
NC=1N=CN=CC1CNC(=O)NC=2C=CC=CC2OCCN3C=CN=C3,BAR-COM-4e0-5,Z1518784792,353.37,100,4,100,1176370-Y4-01,S06,Achiral
