shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg (left)"
PEI-IMP-668afc53-2,Z5185034917,C17H19ClN2O4S2,Achiral,414.926,,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-68,03_A,COC=1C=CC(=CC1)C=2C=CSC2S(=O)(=O)N3CCN(CC3)C(=O)CCl,2-chloro-1-(4-{[3-(4-methoxyphenyl)thiophen-2-yl]sulfonyl}piperazin-1-yl)ethan-1-one,T4090200,7.5
PEI-IMP-3d837503-1,Z5185035079,C15H20N2O4S,Achiral,324.395,,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-68,03_B,CCOC(=O)/C=C/N1CCN(CC1)S(=O)(=O)C=2C=CC=CC2,ethyl (2E)-3-[4-(benzenesulfonyl)piperazin-1-yl]prop-2-enoate,T4090203,8
PEI-IMP-3d837503-2,Z445123384,C13H16N2O3S,Achiral,280.342,,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-68,03_C,C=CC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=CC2,1-[4-(benzenesulfonyl)piperazin-1-yl]prop-2-en-1-one,T4090201,8.3
PEI-IMP-668afc53-1,Z5185034784,C19H21ClN2O4S,Achiral,408.899,,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-68,03_D,COC=1C=CC(=CC1)C=2C=CC=CC2S(=O)(=O)N3CCN(CC3)C(=O)CCl,"2-chloro-1-[4-({4'-methoxy-[1,1'-biphenyl]-2-yl}sulfonyl)piperazin-1-yl]ethan-1-one",T4090199,7.5
PEI-IMP-3d837503-3,Z3590606400,C12H16N2O4S2,Achiral,316.396,,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-68,03_E,C=CS(=O)(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=CC2,1-(benzenesulfonyl)-4-(ethenesulfonyl)piperazine,T4090202,6
re-MAT-POS-dc2604c4-1-1,Z5129808244,C24H21ClN4O3S,Single unknown enantiomer,480.966,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-68,03_F,"ClC=1C=CC=2CN(C[C@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CC5)C#N |o1:8,r|","rel-(4R)-6-chloro-2-[(1-cyanocyclopropyl)methanesulfonyl]-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3294976,49.9
EDJ-MED-76744c27-3,Z5169209958,C23H22ClN3O3S,Racemic or presumed racemic or meso,455.957,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-68,03_G,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5CC5,"6-chloro-2-cyclopropylmethanesulfonyl-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3294077,15
EDJ-MED-b24713dc-1,Z5115885793,C16H14ClN3O,Achiral,299.754,95.83,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-68,03_H,CC=1C=CN2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=C2C1,"2-(3-chlorophenyl)-N-{7-methylimidazo[1,2-a]pyridin-3-yl}acetamide",H3282145,126
MAT-POS-5cd9ea36-3,Z5169210063,C23H23ClN4O3S,Racemic or presumed racemic or meso,470.971,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-68,03_I,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)NC5CCC5,"6-chloro-2-(cyclobutylsulfamoyl)-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3290855,26.6
MAT-POS-5cd9ea36-8,Z5169210096,C25H23ClN4O3S,Racemic or presumed racemic or meso,494.993,97.53,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-68,03_J,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CC#N)CC5,"6-chloro-2-{[1-(cyanomethyl)cyclopropyl]methanesulfonyl}-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3290857,30.9
