SMILES,CID,Comments,,,,
O=C1CC(Oc2cc(Cl)cc3c2OCC[C@H]3C(=O)Nc2cncc3ccccc23)N1,VLA-UCB-50c39ae8-8 ,Would be great to have a large amount of benzopyran phenol intermediate,,,,
O=C1CC(Oc2cc(Cl)cc3c2OCC[C@@H]3C(=O)Nc2cncc3ccccc23)N1,VLA-UCB-05e51b3f-11,,,,,
COc1cc(Cl)cc2c1OCCC2C(=O)Nc1cncc2ccccc12,DAR-DIA-6a508060-4 ,,,,,
O=C(Nc1cc(=O)[nH]c2ccccc12)C1CCOc2ccc(Cl)cc21,FRA-DIA-e29753f2-1,,,,,
O=C(Cc1cc(Cl)cc(CC2CC(=O)N2)c1)Nc1cncc2ccccc12,EDJ-MED-50011917-1,,,,,
O=C(Cc1cc(Cl)cc(Cc2ccn[nH]2)c1)Nc1cncc2ccccc12,PET-UNK-372a2f82-1,,,,,
O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCCN2,MAT-POS-14ad9fe9-1,,,,,
CNc1ccc(N(C(=O)Cn2nnc3ccccc32)c2cccc(Cl)c2)cc1,MAT-POS-06036648-5,,,,,
O=C(Nc1cncc2ccccc12)C1COc2c(Cl)cccc21,FRA-DIA-c7e803f4,,,,,
O=C(Cc1cccc(Cl)c1)Nc1nnc2ccccn12,PET-UNK-e44ffd04-1,EN300-35848,,,,
O=C(Cc1cccc(Cl)c1)Nc1nccc2[nH]ncc12,MAT-POS-199e2e7c-2,EN300-131088,,,,
O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCC2,MAT-POS-199e2e7c-1,s_22____14249628____3020518,,,,
COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)noc2c1,EDJ-MED-c8e7a002-1,EN300-190454,2 x N,,,
COc1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)noc2c1,JAG-UCB-52b62a6f-10,,2 x N,,,
COc1ccc2n[nH]c(NC(=O)Cc3cccc(Cl)c3)c2c1,EDJ-MED-c8e7a002-2,EN300-119787,2 x N,,,
COc1ccc2n[nH]c(NC(=O)C3CCOc4ccc(Cl)cc43)c2c1,JAG-UCB-52b62a6f-8,,2 x N,,,
COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)[nH]nc2c1,EDJ-MED-c8e7a002-3,EN300-185691,2 x N,,,
COc1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)[nH]nc2c1,JAG-UCB-52b62a6f-12,,2 x N,,,
Cc1ccn2cnnc2c1NC(=O)Cc1cccc(Cl)c1,EDJ-MED-c8e7a002-4,EN300-219377,2 x N,,,
Cc1ccn2cnnc2c1NC(=O)C1CCOc2ccc(Cl)cc21,JAG-UCB-52b62a6f-11,,2 x N,,,
Cc1cc(C(F)(F)F)nc2n[nH]c(NC(=O)Cc3cccc(Cl)c3)c12,EDJ-MED-c8e7a002-5,EN300-228971,2 x N,,,
Cc1cc(C(F)(F)F)nc2n[nH]c(NC(=O)C3CCOc4ccc(Cl)cc43)c12,JAG-UCB-52b62a6f-19,,2 x N,,,
