SMILES,CID,,,,,
COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4cc(ccc34)S(C)(=O)=O)C2)CC1,MAT-POS-853c0ffa-16,,,,,
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-133e7cd9-1,,,,,
CNC(=O)C1(N2CC3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-976a33d5-1,,,,,
CNC(=O)C1(N2CC3(CCN(c4cncc5cc(S(C)(=O)=O)ccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-976a33d5-2,,,,,
CNC(=O)C1(N2CC3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3S2(=O)=O)CC1,EDJ-MED-976a33d5-3,,,,,
CNC(=O)C1(N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,ALP-POS-ecbed2ba-7,,,,,
CC1(NC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MAT-POS-69786b79-3,,,,,
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-133e7cd9-1,,,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCCN(c4cncc5ccccc45)C3=O)C2)CC1,ALP-POS-133e7cd9-2,,,,,
