SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments
CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C=4C=CC=NC4,LON-WEI-2e27a2e5-2,CVD-0010543,LON-WEI-2e27a2e5-2,Z4575305751,100.0,40,20,1181202-Y40-11,03_A,Racemic or presumed racemic or meso,
CN(C(=O)NC=1C=NC=CC1C)C=2C=CC=C(Cl)C2,EDG-MED-0da5ad92-3,CVD-0004779,EDG-MED-0da5ad92-3,Z4497196453,92.0,40,20,1181202-Y40-11,03_B,Achiral,
COC=1C=C(Cl)C=C(CC(=O)NC=2C=NC=CC2C)C1,MAT-POS-c9973a83-1,CVD-0009858,MAT-POS-c9973a83-1,Z4504854420,98.66,40,20,1181202-Y40-11,03_C,Achiral,
COC=1C=CC=CC1OCCNC(=O)C2=CC(=O)NC=3C=CC=C(OC)C23,EDJ-MED-6af13d92-3,CVD-0005777,EDJ-MED-6af13d92-3,Z4511099386,100.0,40,20,1181202-Y40-11,03_D,Achiral,
CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=CC3)C(=O)C4=CC=CO4,,,LON-WEI-2e27a2e5-1,Z4575305750,100.0,40,20,1181202-Y40-11,03_E,Racemic or presumed racemic or meso,not found
O=C(NC=1C=CC=NC1)NC2(CC2)C#CC3=CNC=N3,,,CHR-SOS-6c45c019-16,Z4582181893,95.0,40,20,1181202-Y40-11,03_F,Achiral,not found
CC=1C=CN=CC1NC(=O)C[C@@H](N2CCC(O)CC2)C=3C=CC=CC3,ALP-POS-90c18d1d-1,CVD-0005774,ALP-POS-90c18d1d-1,Z4581832150,95.0,40,20,1181202-Y40-11,03_G,Single known enantiomer,
COC=1C=CC=CC1OCCNC(=O)C2=CC(=O)NC=3C=CC=C(F)C23,EDJ-MED-6af13d92-2,CVD-0005776,EDJ-MED-6af13d92-2,Z4511099383,100.0,40,20,1181202-Y40-11,03_H,Achiral,
CC=1C=CN2C=NN=C2C1NC(=O)C3CCOC=4C=CC=CC34,NAU-LAT-8502cac5-7,CVD-0007782,NAU-LAT-8502cac5-7,Z2235072241,98.99,40,20,1181202-Y40-11,03_I,Racemic or presumed racemic or meso,
O=C(NC1=NN=CN1C2CC2)C3CCS(=O)(=O)C=4C=CC=CC34,NAU-LAT-8502cac5-8,CVD-0007783,NAU-LAT-8502cac5-8,Z2077762969,94.39,40,20,1181202-Y40-11,03_J,Racemic or presumed racemic or meso,
Cl.Cl.CS(=O)(=O)C=1C=CC(=CC1)N2CCNCC2,AAR-POS-5507155c-1,CVD-0004472,AAR-POS-f650c5f2-1,Z4575850914,91.0,40,20,1181202-Y40-11,03_K,Achiral,
