SMILES,CID,Comments,,,,
O=C(Nc1cncc2ccccc12)C(O)c1ccc(Cl)c(Cl)c1,MAT-POS-fce787c2-4,ASAP as intermediate for parallel Chem,From in stock BB,,,
CC(N)(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,MAT-POS-fce787c2-7,ASAP as intermediate for parallel Chem,From in stock BB,,,
NC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,MAT-POS-1f3f1a6f-1,ASAP as intermediate for parallel Chem,From in stock BB,,,
C[C@@]1(C(=O)Nc2cncc3ccccc23)CCNc2cc(Cl)c(Cl)cc21,MAT-POS-c74bc7b3-1,High priority custom synthesis,,,,
C[C@]1(C(=O)Nc2cncc3ccccc23)CCNc2cc(Cl)c(Cl)cc21,MAT-POS-c74bc7b3-2,High priority custom synthesis,,,,
O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)Nc1nnco1,CHO-MSK-a31cca77-1,Using intermediate G,From in stock BB,,,
Cn1cnnc1NC(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CHO-MSK-a31cca77-2,Using intermediate G,From in stock BB,,,
O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)Nc1nccnn1,CHO-MSK-a31cca77-3,Using intermediate G,From in stock BB,,,
O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)Nc1ncon1,CHO-MSK-a31cca77-4,Using intermediate G,From in stock BB,,,
NC(=O)C12COC(CNC(=O)CC3(C(=O)Nc4cncc5ccccc45)CCOc4ccc(Cl)cc43)(C1)C2,KAD-UNI-80f122c8-1,Using intermediate G,From in stock BB,,,
CC(=O)N1CC2CC1CN2C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,KAD-UNI-80f122c8-2,Using intermediate G,From in stock BB,,,
O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCC2CS(=O)(=O)CC2C1,KAD-UNI-80f122c8-3,Using intermediate G,From in stock BB,,,
CCN1CCN(C2CN(C(=O)CC3(C(=O)Nc4cncc5ccccc45)CCOc4ccc(Cl)cc43)C2)CC1,KAD-UNI-80f122c8-4,Using intermediate G,From in stock BB,,,
CN(C1CCN(C(=O)CC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1)S(C)(=O)=O,KAD-UNI-80f122c8-5,Using intermediate G,From in stock BB,,,
CN(C)C1COCC1OCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,LEE-CAM-7ab9b158-1,Using intermediate E,From in stock BB,,,
O=C(Nc1cncc2ccccc12)C1(COCc2nc3c(c(=O)[nH]2)COCC3)CCOc2ccc(Cl)cc21,LEE-CAM-7ab9b158-2,Using intermediate E,From in stock BB,,,
O=C(COCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)Nc1ncc[nH]1,LEE-CAM-7ab9b158-3,Using intermediate E,From in stock BB,,,
O=C1CCC2CN1CC(COCC1(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc31)O2,LEE-CAM-7ab9b158-4,Using intermediate E,From in stock BB,,,
COC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,MAT-POS-de59a476-2,From open chain acid intermediate,From in stock BB,,,
O=C(Nc1cncc2ccccc12)C(OCCN1CCOCC1=O)c1ccc(Cl)c(Cl)c1,MAT-POS-de59a476-3,From open chain acid intermediate,From in stock BB,,,
COCCOC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,MAT-POS-de59a476-4,From open chain acid intermediate,From in stock BB,,,
O=C(Nc1cncc2ccccc12)C(OCCO)c1ccc(Cl)c(Cl)c1,MAT-POS-de59a476-5,From open chain acid intermediate,From in stock BB,,,
O=C(COC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1)NC1CC1,MAT-POS-de59a476-6,From open chain acid intermediate,From in stock BB,,,
CNC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,MAT-POS-2905de8c-2,From quaternary N,,,,
CN(C)C1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,MAT-POS-2905de8c-3,From quaternary N,,,,
CC(C)N1CCOC(C(=O)NC(C)(C(=O)Nc2cncc3ccccc23)c2ccc(Cl)c(Cl)c2)C1,MAT-POS-e9e99895-2,From MAT-POS-fce787c2-7 intermediate,From in stock BB,,,
CC(NC(=O)C1CCC(=O)NC1)(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,MAT-POS-e9e99895-3,From MAT-POS-fce787c2-7 intermediate,From in stock BB,,,
Cn1nc(C(=O)NC(C)(C(=O)Nc2cncc3ccccc23)c2ccc(Cl)c(Cl)c2)cc1C#N,MAT-POS-e9e99895-4,From MAT-POS-fce787c2-7 intermediate,From in stock BB,,,
