SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments
CN1C=NC(CN(C(=O)C2=CN=NN2C=3C=CC=CC3)C=4C=CC(OCC=5C=CC=CC5)=CC4)=C1,ALP-POS-c0c213c9-9,CVD-0006326,ALP-POS-c0c213c9-9,Z4553589407,98.87,40,20,1178796-Y40-11,03_A,Achiral,
CN1C=CC(CN(C(=O)CC=2C=CC=NC2)C=3C=CC(=CC3)C=4C=CC=CN4)=N1,ALP-POS-c0c213c9-14,CVD-0006331,ALP-POS-c0c213c9-14,Z4553575183,99.0,40,20,1178796-Y40-11,03_B,Achiral,
NCC1=CN(CC(=O)N(CC=2C=CSC2)C=3C=CC(=CC3)N4CCOCC4)N=N1,ALP-POS-c0c213c9-12,CVD-0006329,ALP-POS-c0c213c9-12,Z4553564299,98.0,40,20,1178796-Y40-11,03_C,Achiral,
CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,LON-WEI-babf2c61-4,CVD-0006801,LON-WEI-babf2c61-4,Z4509080674,90.75,40,20,1178796-Y40-11,03_D,Racemic or presumed racemic or meso,
OC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,LON-WEI-babf2c61-8,CVD-0006805,LON-WEI-babf2c61-8,Z4509080711,100.0,40,20,1178796-Y40-11,03_E,Racemic or presumed racemic or meso,
CC=1C=CN=CC1NC(=O)CC=2C=CC=3NN=CC3C2,VLA-UCB-00f2c2b3-2,CVD-0007573,VLA-UCB-00f2c2b3-2,Z1951831918,83.39,40,20,1178796-Y40-11,03_F,Achiral,
OC(=O)C1(CC2(CNCC=3C=CC=4CCOC4C3)C1)C(O2)C=5C=CC=CC5,BEN-BAS-f6e16b09-1,CVD-0005876,BEN-BAS-f6e16b09-1,Z3347909109,86.22,40,20,1178796-Y40-11,03_G,Diastereomeric mixture,
CC=1C=CN=CC1CC(=O)NC=2C=CC=C3CCNCC23,ADA-UCB-6c2cb422-3,CVD-0007758,ADA-UCB-6c2cb422-3,Z2595889736,98.87,40,20,1178796-Y40-11,03_H,Achiral,
FC=1C=CC=CC1OCC(=O)NC=2N=CN=C3NC=NC23,COM-UCB-8c7d23dc-1,CVD-0009818,COM-UCB-8c7d23dc-1,Z56801196,100.0,40,20,1178796-Y40-11,03_I,Achiral,
CC=1NC=2N=CN=C(NC(=O)C=3C=CC=C4N(C)C(=O)OC34)C2C1C,COM-UCB-8c7d23dc-18,CVD-0009835,COM-UCB-8c7d23dc-18,Z1647884510,100.0,40,20,1178796-Y40-11,03_J,Achiral,
CC=1NC=2N=CN=C(NC(=O)C3CCN(CC3)C=4C=CC(Cl)=CN4)C2C1C,COM-UCB-8c7d23dc-16,CVD-0009833,COM-UCB-8c7d23dc-16,Z1592200190,91.16,40,20,1178796-Y40-11,03_K,Achiral,
FC=1C=C(C=CC1NC(=O)C2CCCCC(=O)N2)C=3N=CNN3,COM-UCB-8c7d23dc-13,CVD-0009830,COM-UCB-8c7d23dc-13,Z2320545771,100.0,40,20,1178796-Y40-11,03_L,Racemic or presumed racemic or meso,
CC=1NC=2N=CN=C(NC(=O)C3=CC=4C=CC=CC4C(=O)O3)C2C1C,COM-UCB-8c7d23dc-12,CVD-0009829,COM-UCB-8c7d23dc-12,Z2000233694,91.6,40,20,1178796-Y40-11,03_M,Achiral,
CN1C(=NC=2C=CC=CC12)C=3C=CC(NC(=O)C4CCCCC(=O)N4)=CC3,COM-UCB-8c7d23dc-7,CVD-0009824,COM-UCB-8c7d23dc-7,Z1926900620,100.0,40,20,1178796-Y40-11,03_N,Racemic or presumed racemic or meso,
O=C1C(CCN1CC=2C=CC=CC2)NC=3N=CN=C4N=CNC34,COM-UCB-8c7d23dc-6,CVD-0009823,COM-UCB-8c7d23dc-6,Z909652136,95.95,40,20,1178796-Y40-11,03_O,Racemic or presumed racemic or meso,
O=C(NC1=CNN=C1C=2C=CC=CN2)C3=CC=CC4=NC=CN34,COM-UCB-8c7d23dc-15,CVD-0009832,COM-UCB-8c7d23dc-15,Z1559986976,100.0,40,20,1178796-Y40-11,03_P,Achiral,
O=C(NC1=NN=CN1C2CC2)C3CCOC=4C=CC=CC34,EDJ-MED-0e996074-1,CVD-0009927,EDJ-MED-2c295496-1,Z2077729193,100.0,40,20,1178796-Y40-11,04_A,Racemic or presumed racemic or meso,
FC=1C=CC=C2C(CCOC12)C(=O)NC3=NN=CN3C4CC4,BRU-THA-a358fbdd-7,CVD-0008163,BRU-THA-a358fbdd-7,Z2841210530,100.0,40,20,1178796-Y40-11,04_B,Racemic or presumed racemic or meso,
COC(=O)C(N1CCC(S)/C(=C/C(=O)O)/C1)C=2C=CC=CC2Cl,JOH-UNI-591f77bd-1,CVD-0009928,JOH-UNI-a5c0a47e-3,Z2312478812,85.0,40,20,1178796-Y40-11,04_C,Diastereomeric mixture,
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(CCC#N)=CC1)C=2C=CC=NC2,LON-WEI-adc59df6-78,CVD-0009924,LON-WEI-adc59df6-78,Z4459610252,100.0,40,20,1178796-Y40-11,04_D,Racemic or presumed racemic or meso,
