SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments
COC=1C=CC=CC1NC2CN(C2)C(=O)C3=CC(=O)NC=4C=CC=CC34,ERI-UCB-a0b0dbcb-8,CVD-0013262,ERI-UCB-a0b0dbcb-8,Z4655756144,100.0,40,20,1178796-Y40-26,03_A,Achiral,
ClC=1C=CC=C(CC(=O)NC2=NN=C3C=CC=CN23)C1,PET-UNK-e44ffd04-1,CVD-0013517,PET-UNK-e44ffd04-1,Z1079665436,100.0,40,20,1178796-Y40-26,03_B,Achiral,
ClC=1C=CC=C(CC(=O)NC2=NNC=3C=CN=CC23)C1,EDJ-MED-c8e7a002-16,CVD-0013500,EDJ-MED-c8e7a002-16,Z4661830692,97.48,40,20,1178796-Y40-26,03_C,Achiral,
COC=1C=CC=2C(NC(=O)CC=3C=CC=C(Cl)C3)=NOC2C1,EDJ-MED-c8e7a002-1,CVD-0013485,EDJ-MED-c8e7a002-1,Z4661830652,100.0,40,20,1178796-Y40-26,03_D,Achiral,
ClC=1C=CC=C(CC(=O)NC=2C=NC=C3CCCC32)C1,MAT-POS-199e2e7c-1,CVD-0013519,MAT-POS-199e2e7c-1,Z4661830651,95.77,40,20,1178796-Y40-26,03_E,Achiral,
ClC=1C=CC=C(CC(=O)NC=2C=CC=C3C=NNC23)C1,EDJ-MED-c8e7a002-12,CVD-0013496,EDJ-MED-c8e7a002-12,Z1079623926,100.0,40,20,1178796-Y40-26,03_F,Achiral,
COC=1C=CC=CC1OC2CCN(C2)C(=O)C3=CC(=O)NC=4C=CC=CC34,ERI-UCB-a0b0dbcb-6,CVD-0013260,ERI-UCB-a0b0dbcb-6,Z4655756143,100.0,40,20,1178796-Y40-26,03_G,Racemic or presumed racemic or meso,
Cl.COC=1C=CC(=CC1)C(CC=2C=CSC2)C(=O)NC3=NNC=4C=CC=CC34,ALP-POS-a3de0cb1-3,CVD-0013033,ALP-POS-a3de0cb1-3,Z4656742096,100.0,40,20,1178796-Y40-26,03_H,Racemic or presumed racemic or meso,
CN(C)C=1C=CC(=CC1)C(CC=2C=CSC2)C(=O)NC3=NN=C4C=CC=CN34,ALP-POS-a3de0cb1-10,CVD-0013039,ALP-POS-a3de0cb1-10,Z4618924270,96.55,40,20,1178796-Y40-26,03_I,Racemic or presumed racemic or meso,
COC=1C=CC=CC1OCCC(=O)NC=2C=NC=C3C=CC=CC23,MAR-UCB-f313ec4d-3,CVD-0013271,MAR-UCB-f313ec4d-3,Z1530720954,97.8,40,20,1178796-Y40-26,03_J,Achiral,
"ClC=1C=CC=2OC[C@@H](CC2C1)C(=O)NC=3C=NC=C4C=CC=CC34 |o1:7,r|",MAT-POS-8e4737f4-2,CVD-0013227,MAT-POS-8e4737f4-2,Z4647468798,99.0,40,20,1178796-Y40-26,03_K,Single known enantiomer,
"ClC=1C=CC=2OC[C@H](CC2C1)C(=O)NC=3C=NC=C4C=CC=CC34 |o1:7,r|",EDJ-MED-e4b030d8-12,CVD-0013209,EDJ-MED-e4b030d8-12,Z4647468795,100.0,40,20,1178796-Y40-26,03_L,Single known enantiomer,
CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(OCC3=NC=CN3)C2,RAL-THA-6b94ceba-1,CVD-0011600,RAL-THA-6b94ceba-1,Z4609618475,91.38,40,20,1178796-Y40-26,03_M,Achiral,
COC=1C=CC=CC1OC2CN(C2)C(=O)C3=CC(=O)NC=4C=CC=CC34,ERI-UCB-a0b0dbcb-9,CVD-0013263,ERI-UCB-a0b0dbcb-9,Z4655756145,97.52,40,20,1178796-Y40-26,03_N,Achiral,
CCC=1C=CC=2N(CC(=O)O)C(=O)C(=O)C2C1,LOR-NOR-c954e7ad-4,CVD-0013676,LOR-NOR-c954e7ad-3,Z330905748,98.28,40,20,1178796-Y40-26,03_O,Achiral,
CCCCN1C(=O)C(=O)C=2C=C(Br)C=C(C)C12,LOR-NOR-c954e7ad-2,CVD-0013674,LOR-NOR-c954e7ad-4,Z111504232,95.0,40,20,1178796-Y40-26,03_P,Achiral,
CC(C)CCN1C(=O)C(=O)C=2C=C(Br)C=CC12,LOR-NOR-c954e7ad-3,CVD-0013675,LOR-NOR-c954e7ad-5,Z324552784,95.0,40,20,1178796-Y40-26,04_A,Achiral,
CC1=NC(CN2C(=O)C(=O)C=3C=C(Br)C=CC23)=CS1,LOR-NOR-c954e7ad-1,CVD-0013673,LOR-NOR-c954e7ad-6,Z352251436,100.0,40,20,1178796-Y40-26,04_B,Achiral,
