SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments
CC1=CC(C(=O)CCl)=C(C)N1NC(=O)C2=NNC(=O)C=3C=CC=CC23,TAT-ENA-80bfd3e5-37,CVD-0008066,MAT-POS-fa06b69f-9,Z57032523,100.0,40,20,1178796-Y40-22,03_A,Achiral,
CC1=CC(C(=O)CCl)=C(C)N1CC2COC=3C=CC=CC3O2,TAT-ENA-80bfd3e5-32,CVD-0008061,MAT-POS-fa06b69f-4,Z56948287,98.18,40,20,1178796-Y40-22,03_B,Racemic or presumed racemic or meso,
CSC1=C(C#N)C2(CCCCC2)C(=C(NC(=O)CCl)N1)C#N,TAT-ENA-80bfd3e5-7,CVD-0008041,MAT-POS-fa06b69f-2,Z90664458,95.63,40,20,1178796-Y40-22,03_C,Achiral,
CC=1C(C(=O)CCl)=C2C=CC=CN2C1C(=O)C=3C=CC(F)=CC3,TAT-ENA-80bfd3e5-4,CVD-0008038,MAT-POS-fa06b69f-3,Z56921112,97.67,40,20,1178796-Y40-22,03_D,Achiral,
CS(=O)(=O)NC=1C=CC=C(C1)C2=NN(C(C2)C=3C=CC=CC3)C(=O)CCl,TAT-ENA-80bfd3e5-45,CVD-0008073,MAT-POS-fa06b69f-7,Z363947584,100.0,40,20,1178796-Y40-22,03_E,Racemic or presumed racemic or meso,
O=C1OC(=NC1=CC2=CC=C(S2)N3CCOCC3)C4=CC=CS4,MAT-POS-fa06b69f-6,CVD-0013057,MAT-POS-fa06b69f-6,Z31316845,100.0,40,20,1178796-Y40-22,03_F,Achiral,imperfect stereochemical match for MAT-POS-fa06b69f-6
COC=1C=CC=C(C1)C2=NC(=CC=3SC=CC3C)C(=O)O2,MAT-POS-ea426761-9,CVD-0010834,MAT-POS-fa06b69f-1,Z31321688,100.0,40,20,1178796-Y40-22,03_G,Achiral,imperfect stereochemical match for MAT-POS-ea426761-9
CC(=O)N1CCN(CC(=O)NC=2C=NC=C3C=CC=CC23)CC1,ALP-POS-6747fa38-1,CVD-0012987,ALP-POS-6747fa38-1,Z4613247190,93.0,40,20,1178796-Y40-22,03_H,Achiral,
CCN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC(OC)=C(NC(=O)CCl)C2,TAT-ENA-80bfd3e5-36,CVD-0008065,MAT-POS-fa06b69f-5,Z56886487,95.0,40,20,1178796-Y40-22,03_I,Achiral,
CN(CC(=O)NC=1C=CC=CC1Br)C(=O)CCl,TAT-ENA-80bfd3e5-42,CVD-0008071,MAT-POS-fa06b69f-8,Z57054209,99.0,40,20,1178796-Y40-22,03_J,Achiral,
CC1COCCN1CCOC=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2,CHO-MSK-6e55470f-1,CVD-0013060,CHO-MSK-6e55470f-1,Z4623427667,90.68,40,20,1178796-Y40-23,03_A,Racemic or presumed racemic or meso,imperfect stereochemical match for CHO-MSK-6e55470f-1
"CC(C)(C)C=1C=CC(=CC1)N([C@H](C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C4=CC=CO4 |o1:11,r|",MAT-POS-f2460aef-1,CVD-0013164,MAT-POS-f2460aef-1,Z4647017343,100.0,40,20,1178796-Y40-23,03_B,Single known enantiomer,
"CC(C)(C)C=1C=CC(=CC1)N([C@@H](C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C4=CC=CO4 |o1:11,r|",MAT-POS-f2460aef-2,CVD-0013165,MAT-POS-f2460aef-2,Z4647023313,100.0,40,20,1178796-Y40-23,03_C,Single known enantiomer,
ClC=1C=CC=C(CC(=O)N[C@H]2CCNC2=O)C1,MIC-UNK-42806bd5-1,CVD-0009888,MIC-UNK-42806bd5-1,Z2602072666,97.65,40,20,1178796-Y40-23,03_D,Single known enantiomer,imperfect stereochemical match for MIC-UNK-42806bd5-1
COC=1C=CC(=CC1)C=2C=C(COC=3C=C(Cl)C=C(CC(=O)NC=4C=NC=CC4C)C3)ON2,CHO-MSK-6e55470f-22,CVD-0013081,CHO-MSK-6e55470f-22,Z4623427646,95.0,40,20,1178796-Y40-23,03_E,Achiral,
CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C=4C=NNC4,MAT-POS-f2460aef-5,CVD-0013168,MAT-POS-f2460aef-5,Z4638574269,100.0,40,20,1178796-Y40-23,03_F,Racemic or presumed racemic or meso,
