SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments
CC(C)(C)C1=CC(=NO1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C=C,LON-WEI-babf2c61-10,CVD-0006807,LON-WEI-babf2c61-10,Z4509080725,90.54,40,20,1178796-Y40-08,03_A,Racemic or presumed racemic or meso,
COC=1C=CC=2CC(N(CC2C1)C(=O)CCl)C=3C=CC=CC3,NAU-LAT-64f4b287-4,CVD-0005286,NAU-LAT-64f4b287-4,Z1562148574,85.67,40,20,1178796-Y40-08,03_B,Racemic or presumed racemic or meso,
CCN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(=CC34)[N+](=O)[O-],MAT-POS-590ac91e-52,CVD-0005400,MAT-POS-590ac91e-52,Z1222830091,100.0,40,20,1178796-Y40-08,03_C,Racemic or presumed racemic or meso,
CC1=CN=CN1CC(=O)NC=2C=C(C)C=C(C)C2,JAG-UCB-a3ef7265-12,CVD-0005320,JAG-UCB-a3ef7265-12,Z2697373477,97.95,40,20,1178796-Y40-08,03_D,Achiral,
OC=1C=CC(Cl)=CC1NC(=O)CC=2C=CC=NC2,BEN-DND-61647d40-18,CVD-0004596,BEN-DND-61647d40-18,Z1177713653,95.59,40,20,1178796-Y40-08,03_E,Achiral,
OC=1C=CC(C#N)=CC1NC(=O)CC=2C=CC=NC2,BEN-DND-61647d40-8,CVD-0004606,BEN-DND-61647d40-8,Z1331696129,100.0,40,20,1178796-Y40-08,03_F,Achiral,
CC=1C=C(C)C(C)=C(C1C)S(=O)(=O)N2CCN(CC2)C(=O)C=3C=CNC(=O)C3,BEN-DND-7e92b6ca-8,CVD-0005059,BEN-DND-7e92b6ca-8,Z1418828864,100.0,40,20,1178796-Y40-08,03_G,Achiral,
OC=1C=CN=CC1NC(=O)CC=2C=CC=C(Cl)C2,ALP-POS-95b75b4d-6,CVD-0004568,ALP-POS-95b75b4d-6,Z1085342634,100.0,40,20,1178796-Y40-08,03_H,Achiral,
CC=1C=CN=CC1NC(=O)CCC=2C=CC=CC2F,BEN-DND-93268d01-7,CVD-0005074,BEN-DND-93268d01-7,Z1129284855,100.0,40,20,1178796-Y40-08,03_I,Achiral,
CC=1C=CN=CC1NC(=O)C2C3CCOCC23,MAT-POS-590ac91e-28,CVD-0005373,MAT-POS-590ac91e-28,Z3080739930,100.0,40,20,1178796-Y40-08,03_J,Diastereomeric mixture,
ClC=1C=CC=C(CC(=O)NN2C=NN=C2)C1,JAN-GHE-5a013bed-5,CVD-0004614,JAN-GHE-5a013bed-5,Z1613796925,100.0,40,20,1178796-Y40-08,03_K,Achiral,
COC=1C=CC=CC1OCCNC(=O)C=2C=CNC(=O)C2,BEN-DND-7e92b6ca-1,CVD-0005045,BEN-DND-7e92b6ca-1,Z1419041082,100.0,40,20,1178796-Y40-08,03_L,Achiral,
CC1=CN=CN1CC(=O)NC=2C=CC=C(C)N2,JAG-UCB-a3ef7265-14,CVD-0005322,JAG-UCB-a3ef7265-14,Z2699738844,94.31,40,20,1178796-Y40-08,03_M,Achiral,
CC=1C=C(C)C=C(CC(=O)NC2=NN=CN2C)C1,JAG-UCB-a3ef7265-18,CVD-0005326,JAG-UCB-a3ef7265-18,Z2636222460,100.0,40,20,1178796-Y40-08,03_N,Achiral,
ClC=1C=CC=C(CC(=O)NN2C=NNC2=O)C1,JAN-GHE-5a013bed-4,CVD-0004613,JAN-GHE-5a013bed-4,Z1613844041,100.0,40,20,1178796-Y40-08,03_O,Achiral,
CC1=NN=C(NC(=O)CC=2C=CC=C(Cl)C2F)S1,JAG-UCB-a3ef7265-10,CVD-0005318,JAG-UCB-a3ef7265-10,Z2169605851,100.0,40,20,1178796-Y40-08,03_P,Achiral,
CC=1C=CN=CC1NS(=O)(=O)C=2C=CC=C(Cl)C2,JAN-GHE-83b26c96-21,CVD-0004633,JAN-GHE-83b26c96-21,Z1381353667,95.62,40,20,1178796-Y40-08,04_A,Achiral,
CC=1C=CN=CC1NC(=O)[C@@H]2CNC(=O)O2,MAT-POS-590ac91e-12,CVD-0005356,MAT-POS-590ac91e-12,Z2627790972,95.0,40,20,1178796-Y40-08,04_B,Single known enantiomer,
NC=1N=CC(=CN1)S(=O)(=O)NCC=2C=CC=C(Cl)C2,JAG-UCB-ef2c0e8e-5,CVD-0006514,JAG-UCB-ef2c0e8e-5,Z992433798,100.0,40,20,1178796-Y40-08,04_C,Achiral,
CC=1C=CN=CC1NC(=O)NC=2C=NC=C(C#N)C2,CHR-SOS-363cfb78-2,CVD-0000548,CHR-SOS-363-2,Z4444621944,86.03,40,20,1178796-Y40-08,04_D,Achiral,
CC=1C=CN=CC1NC(=O)C2(CCOC2)C#N,MAT-POS-590ac91e-27,CVD-0005372,MAT-POS-590ac91e-27,Z2869765276,100.0,40,20,1178796-Y40-08,04_E,Racemic or presumed racemic or meso,
CC1=NN=C(O1)C2CC=3C=CC=CC3CN2C(=O)CCl,NAU-LAT-64f4b287-5,CVD-0005287,NAU-LAT-64f4b287-5,Z1562143134,96.9,40,20,1178796-Y40-08,04_F,Racemic or presumed racemic or meso,
