shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID
MAT-POS-450cb4f9-1,Z227999112,C20H20ClN3O2,Racemic or presumed racemic or meso,369.844,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-33,03_A,ClC=1C=CC=C(C1)N2CCN(CC2)C(=O)C3CC(=O)NC=4C=CC=CC34,"4-[4-(3-chlorophenyl)piperazine-1-carbonyl]-1,2,3,4-tetrahydroquinolin-2-one",H2796707
JAG-UCB-52b62a6f-16,Z4661830693,C16H13ClN4O2,Racemic or presumed racemic or meso,328.753,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-33,03_B,ClC=1C=CC=2OCCC(C(=O)NC3=NNC=4C=CN=CC34)C2C1,"6-chloro-N-{1H-pyrazolo[4,3-c]pyridin-3-yl}-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2817208
MIC-UNK-42806bd5-3,Z1677872704,C14H15ClN2O3,Diastereomeric mixture,294.733,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-33,03_C,ClC=1C=CC=2OCCC(C(=O)NC3CNC(=O)C3)C2C1,"6-chloro-N-(5-oxopyrrolidin-3-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2796615
ALP-POS-c3a96089-2,Z4763834271,C21H18N4OS,Achiral,374.458,89.58,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-33,03_D,CC=1C=CC(=NC1)N(CC2=CSC=N2)C(=O)CC=3C=NC=C4C=CC=CC34,"2-(isoquinolin-4-yl)-N-(5-methylpyridin-2-yl)-N-[(1,3-thiazol-4-yl)methyl]acetamide",H2809843
BEN-DND-f2e727cd-1,Z4765682195,C18H14ClN3O2,Achiral,339.775,96.46,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-33,03_E,ClC=1C=CC=2OCCN(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,"6-chloro-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1,4-benzoxazine-4-carboxamide",H2826935
rel-EDG-MED-971238d3-5-2,Z4881315612,C20H20Cl3N3O2,Single known enantiomer,440.750,100,200415-FTE / COVID-19,hydrogen chloride,2,36.46094,40,20,1181202-Y40-33,03_F,"Cl.Cl.NC[C@@]1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34 |o1:4,r|","rel-(4R)-4-(aminomethyl)-6-chloro-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide dihydrochloride",H2828527
rac-EDJ-MED-fb4b7746-1,Z4780165432,C17H15ClN4O2,Racemic or presumed racemic or meso,342.779,97.71,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-33,03_G,CN1C=NC=2C=NC=C(NC(=O)C3CCOC=4C=CC(Cl)=CC34)C12,"6-chloro-N-{1-methyl-1H-imidazo[4,5-c]pyridin-7-yl}-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2821636
rel-EDG-MED-971238d3-5-1,Z4881315609,C20H20Cl3N3O2,Single known enantiomer,440.750,92.82,200415-FTE / COVID-19,hydrogen chloride,2,36.46094,40,20,1181202-Y40-33,03_H,"Cl.Cl.NC[C@]1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34 |o1:4,r|","rel-(4R)-4-(aminomethyl)-6-chloro-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide dihydrochloride",H2828534
ALP-POS-966f8da6-2,Z4765682203,C21H18ClN3O2,Racemic or presumed racemic or meso,379.839,95.88,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-33,03_I,CC(=O)N1CCC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC14,"1-acetyl-6-chloro-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroquinoline-4-carboxamide",H2820582
Z4767481776,Z4767481776,C22H17ClN2O3,Racemic or presumed racemic or meso,392.834,92.98,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-33,03_J,ClC=1C=CC=2OCCC(C(=O)N(C(=O)C=C)C=3C=NC=C4C=CC=CC34)C2C1,"N-(6-chloro-3,4-dihydro-2H-1-benzopyran-4-carbonyl)-N-(isoquinolin-4-yl)prop-2-enamide",H2832066
