shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg"
rel-EDJ-MED-611d11e7-7-2,Z4987418805,C21H19ClN2O4,Single unknown enantiomer,398.839,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-47,05_A,"COC=1C=CC=2C=NC=C(NC(=O)[C@]3(CCOC=4C=CC(Cl)=CC43)OC)C2C1 |o1:13,r|","rel-(4R)-6-chloro-4-methoxy-N-(6-methoxyisoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3055088,
rel-EDJ-MED-611d11e7-7-1,Z4943083653,C21H19ClN2O4,Single unknown enantiomer,398.839,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-47,05_B,"COC=1C=CC=2C=NC=C(NC(=O)[C@@]3(CCOC=4C=CC(Cl)=CC43)OC)C2C1 |o1:13,r|","rel-(4R)-6-chloro-4-methoxy-N-(6-methoxyisoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3055087,
rel-MAT-POS-dd3ad2b5-5,Z4988873021,C20H18ClN3O3S,Single unknown enantiomer,415.893,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-47,05_C,"CS(=O)(=O)N1C[C@H](C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1 |o1:6,r|","rel-(4R)-6-chloro-N-(isoquinolin-4-yl)-2-methanesulfonyl-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3053628,
rel-MAT-POS-dd3ad2b5-6,Z4988872945,C20H18ClN3O3S,Single unknown enantiomer,415.893,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-47,05_D,"CS(=O)(=O)N1C[C@@H](C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1 |o1:6,r|","rel-(4R)-6-chloro-N-(isoquinolin-4-yl)-2-methanesulfonyl-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3053627,
KAD-UNI-b13decd3-5,Z4984330285,C28H29ClN6O3,Diastereomeric mixture,533.021,96.56,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-47,05_E,ClC=1C=CC=2OCCC(CNCC3=CN(CC4CCCO4)N=N3)(C(=O)NC=5C=NC=C6C=CC=CC56)C2C1,"6-chloro-N-(isoquinolin-4-yl)-4-{[({1-[(oxolan-2-yl)methyl]-1H-1,2,3-triazol-4-yl}methyl)amino]methyl}-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3101522,
EDJ-MED-009f762b-2,Z5009825383,C26H21ClF4N4O3S,Racemic or presumed racemic or meso,580.981,100,200415-FTE / COVID-19,trifluoroacetic acid,1,114.0233496,4,100,1181202-Y4-47,05_F,CC1=NC(CN2CC(C(=O)NC=3C=NC=C4C=CC(F)=CC34)C=5C=C(Cl)C=CC5C2)=CS1.OC(=O)C(F)(F)F,"6-chloro-N-(6-fluoroisoquinolin-4-yl)-2-[(2-methyl-1,3-thiazol-4-yl)methyl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide; trifluoroacetic acid",H3099336,
MAT-POS-e6dd326d-5,Z4973373657,C22H23ClN4O4S,Racemic or presumed racemic or meso,474.960,96.82,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-47,05_G,CN(C)S(=O)(=O)NCC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,"6-chloro-4-{[(dimethylsulfamoyl)amino]methyl}-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3099330,
JIN-POS-6dc588a4-2,Z4951847499,C14H10ClN3O2,Achiral,287.701,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-47,05_H,ClC=1C=CC=C(CC(=O)NC2=NOC=3N=CC=CC23)C1,"2-(3-chlorophenyl)-N-{[1,2]oxazolo[5,4-b]pyridin-3-yl}acetamide",H3099338,
JIN-POS-6dc588a4-14,Z4951865296,C15H12ClN3O,Achiral,285.728,99.74,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-47,05_I,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3C=CNC23)C1,"2-(3-chlorophenyl)-N-{1H-pyrrolo[3,2-c]pyridin-7-yl}acetamide",H3101665,
KAD-UNI-cb0f2bbc-8,Z4984330304,C33H31ClN6O4,Racemic or presumed racemic or meso,611.090,99.48,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-47,05_J,ClC=1C=CC=2OCCC(CNCC3=C(N=C4C=CC=CN4C3=O)N5CCOCC5)(C(=O)NC=6C=NC=C7C=CC=CC67)C2C1,"6-chloro-N-(isoquinolin-4-yl)-4-[({[2-(morpholin-4-yl)-4-oxo-4H-pyrido[1,2-a]pyrimidin-3-yl]methyl}amino)methyl]-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3101521,
