SMILES,CID,comments,,
COc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,EDJ-MED-00c1612e-1,Isoquinoline improve isoquinoline,,
O=C(Cc1cccc(Cl)c1)Nc1ncn2ccccc12,EDJ-MED-50fe53e8-3,Isoquinoline improve isoquinoline,,
O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCCC2,EDJ-MED-a364e151-1,Isoquinoline improve isoquinoline,,
O=C(Cc1cccc(Cl)c1)Nc1cncc2c1OCCC2,EDJ-MED-976da9a6-1,Isoquinoline improve isoquinoline,,
O=C1C(c2cccc(Cl)c2)CCN1c1cncc2ccccc12,PET-UNK-c9c1e0d8-4,Isoquinoline constrain linker,,
O=C(Cc1cc(Cl)cc(OC2CC(=O)N2)c1)Nc1cncc2ccccc12,ALP-POS-3b848b35-2,Isoquinoline add beta lactam,,
O=C(Nc1cncc2ccccc12)N(CCC1CCCCC1)c1cccc(Cl)c1,EDJ-MED-c314995a-1,Isoquinoline add cyclohexyl ethyl,,
O=C(Cc1cncc2ccccc12)Nc1cc(Cl)cc(OC2CCC(=O)N2)c1,ERI-UCB-ce40166b-6,Isoquinoline beta lactam replacement,,
O=C(Cc1cncc2ccccc12)Nc1cc(Cl)cc(Oc2cccc(=O)[nH]2)c1,ERI-UCB-ce40166b-7,Isoquinoline beta lactam replacement,,
O=C(Cc1cncc2ccccc12)Nc1cc(Cl)cc(Oc2cccnc2)c1,ERI-UCB-ce40166b-8,Isoquinoline beta lactam replacement,,
Cc1ccncc1NC(=O)N(C)c1cc(Cl)cc(OC2CC(=O)N2)c1,MAR-UCB-ad2ff052-1,Aminopyridine with beta lactam and cyclohexylethyl,,
CCC(=O)Nc1ccc(N(C)C(=O)Cn2nnc3ccccc32)cc1,EDJ-MED-06d94977-1,Benzotriazole half structure,,
CN(Cc1cccc(Cl)c1)C(=O)Cn1nnc2ccccc21,EDJ-MED-06d94977-2,Benzotriazole half structure,,
O=C(Cc1cc(Cl)cc(OC2CC(=O)N2)c1)Nc1cc(=O)[nH]c2ccccc12,MAT-POS-3b92565d-6,Quinolone beta lactam hybrid,,
CC(=O)NC(C)c1cc(Cl)cc(-c2ccc(S(N)(=O)=O)cc2)c1,EDJ-MED-8698005e-1,Covalent biphenyl sulphonamide test if core of ligand potent before making aldehyde,,
