SMILES,CID,Comments,,,,
CNC(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3cc(COC)ccc23)C1,ALP-POS-1460fd94-1,,,,,
O=C(NCc1cccc(Cl)c1)c1cncc2ccccc12,ALP-POS-76eab5ce-2,,,,,
CNC(=O)C1(N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1,EDJ-MED-12c4873b-1,,,,,
CNC(=O)C1(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-12c4873b-2,,,,,
CNC(=O)C(C)(C)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,EDJ-MED-12c4873b-3,,,,,
CNC(=O)C(C)(C)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-12c4873b-4,,,,,
O=C(Nc1cncc2ccccc12)C1CN(C2CCNC2=O)Cc2ccc(Cl)cc21,EDJ-MED-12c4873b-5,,,,,
O=C(Nc1cncc2ccccc12)C1CN(C2CCNC2=O)C(=O)c2ccc(Cl)cc21,EDJ-MED-12c4873b-6,,,,,
O=C1CC(N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CN1,EDJ-MED-12c4873b-7,,,,,
O=C1CC(N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CN1,EDJ-MED-12c4873b-8,,,,,
CN1CC(C#N)(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,ALP-POS-07e1ed01-2,,,,,
CNC(=O)CN1CC(C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,ALP-POS-e266d783-1,,,,,
CCNC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,RAL-THA-a9c31980-1,,,,,
O=C(CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O)NC1CCC1,RAL-THA-a9c31980-2,,,,,
CC(C)NC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,RAL-THA-a9c31980-3,,,,,
CC(C)(C)NC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,RAL-THA-a9c31980-4,,,,,
CCCNC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,RAL-THA-a9c31980-5,,,,,
O=C(CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O)NCC1CC1,RAL-THA-a9c31980-6,,,,,
O=C(CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O)NCC(F)(F)F,RAL-THA-a9c31980-8,,,,,
O=C(CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O)NCC1CCC1,RAL-THA-a9c31980-9,,,,,
CN(C)C(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,RAL-THA-5e0a6f1a-1,,,,,
O=C(CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O)NC1CC1,EDJ-MED-43f8f7d6-4,,,,,
O=C(CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O)NC1COC1,EDJ-MED-43f8f7d6-6,,,,,
CC(=O)N1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,EDJ-MED-b774e9fe-1,"Please make at least a gram of amine intermediate, more analogs may be coming",,,,
CS(=O)(=O)N1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,EDJ-MED-b774e9fe-2,"Please make at least a gram of amine intermediate, more analogs may be coming",,,,
CNS(=O)(=O)N1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,EDJ-MED-b774e9fe-3,"Please make at least a gram of amine intermediate, more analogs may be coming",,,,
O=C(Cc1cccc(Cl)c1)Nc1cncc2ccc(C(=O)O)cc12,MAT-POS-90fd5f68-37,Will need a lot of acid intermediate,,,,
O=C(Cc1cccc(Cl)c1)Nc1cncc2cc(C(=O)O)ccc12,MAT-POS-90fd5f68-38,Will need a lot of acid intermediate,,,,
NC(=O)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,MAT-POS-90fd5f68-1,,,,,
CNC(=O)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,MAT-POS-90fd5f68-2,,,,,
CN(C)C(=O)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,MAT-POS-90fd5f68-3,,,,,
NC(=O)c1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,MAT-POS-90fd5f68-19,,,,,
CNC(=O)c1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,MAT-POS-90fd5f68-20,,,,,
CN(C)C(=O)c1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,MAT-POS-90fd5f68-21,,,,,
