shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg (left)"
WIL-UNI-2a57d06c-8,Z1437884854,C14H10N4O4S,Achiral,330.318,91.26,MOON-AUG-001,,,0,4,100,1181202-Y4-76,05_A,CC1=NC=2C=CC(NS(=O)(=O)C3=CC=CC4=NON=C34)=CC2O1,"N-(2-methyl-1,3-benzoxazol-6-yl)-2,1,3-benzoxadiazole-4-sulfonamide",H3493548,
WIL-UNI-2a57d06c-33,Z1958483159,C15H13N5S,Achiral,295.362,100,MOON-AUG-001,,,0,4,100,1181202-Y4-76,05_B,CC1=CN2N=C(NCC=3C=CC=4N=CC=CC4C3)SC2=N1,"6-methyl-N-[(quinolin-6-yl)methyl]imidazo[2,1-b][1,3,4]thiadiazol-2-amine",H3405253,
WIL-UNI-2a57d06c-10,Z1323826333,C15H13N5O2S2,Achiral,359.426,100,MOON-AUG-001,,,0,4,100,1181202-Y4-76,05_C,CN(CC1=C(C)N=C2SC=CN12)C(=O)C3=CN=C4SC=CN4C3=O,"N-methyl-N-({6-methylimidazo[2,1-b][1,3]thiazol-5-yl}methyl)-5-oxo-5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxamide",H3403815,
WIL-UNI-2a57d06c-27,Z5213862860,C15H12N8O,Achiral,320.308,100,MOON-AUG-001,,,0,4,100,1181202-Y4-76,05_D,CN1C=C(N=N1)C=2C=CC=C(NC(=O)C=3C=CC4=NN=NN4C3)C2,"N-[3-(1-methyl-1H-1,2,3-triazol-4-yl)phenyl]-[1,2,3,4]tetrazolo[1,5-a]pyridine-6-carboxamide",H3404459,
WIL-UNI-2a57d06c-40,Z1833736634,C17H15N5O3,Achiral,337.332,100,MOON-AUG-001,,,0,4,100,1181202-Y4-76,05_E,CC1=NC=2C=CC(NC(=O)NCC=3C=CC=4NC(=O)NC4C3)=CC2O1,"3-(2-methyl-1,3-benzoxazol-6-yl)-1-[(2-oxo-2,3-dihydro-1H-1,3-benzodiazol-5-yl)methyl]urea",H3403939,
WIL-UNI-2a57d06c-14,Z2010253584,C15H14N8O,Achiral,322.324,100,MOON-AUG-001,,,0,4,100,1181202-Y4-76,05_F,CC1=NN(C)C=2N=CC(NC(=O)C=3C=CN=C4N(C)N=NC34)=CC12,"N-{1,3-dimethyl-1H-pyrazolo[3,4-b]pyridin-5-yl}-3-methyl-3H-[1,2,3]triazolo[4,5-b]pyridine-7-carboxamide",H3411459,
WIL-UNI-2a57d06c-41,Z5213862939,C14H12N8O2,Achiral,324.297,95.51,MOON-AUG-001,,,0,4,100,1181202-Y4-76,05_G,CN1N=CC=2C(=O)NC(NNC(=O)C3=CC=CN4N=CC=C34)=NC12,"N'-{1-methyl-4-oxo-1H,4H,5H-pyrazolo[3,4-d]pyrimidin-6-yl}pyrazolo[1,5-a]pyridine-4-carbohydrazide",H3405527,
WIL-UNI-2a57d06c-45,Z5213862858,C17H13N5O2,Achiral,319.317,98.53,MOON-AUG-001,,,0,4,100,1181202-Y4-76,05_H,CC1=NC=2C=C(C=CC2O1)C(=O)NNC=3C=CN=C4C=CC=NC34,"2-methyl-N'-(1,5-naphthyridin-4-yl)-1,3-benzoxazole-5-carbohydrazide",H3406400,
WIL-UNI-2a57d06c-26,Z118521842,C14H12N6S,Achiral,296.350,100,MOON-AUG-001,,,0,4,100,1181202-Y4-76,05_I,CC1=NC=2C=CC(NC3=CC(C)=NC4=NC=NN34)=CC2S1,"2-methyl-N-{5-methyl-[1,2,4]triazolo[1,5-a]pyrimidin-7-yl}-1,3-benzothiazol-6-amine",H3402991,
WIL-UNI-2a57d06c-34,Z5213862922,C14H11F3N8,Achiral,348.285,100,MOON-AUG-001,,,0,4,100,1181202-Y4-76,05_J,CC=1C=CC2=NN=C(CNC=3C=CC4=NN=C(N4N3)C(F)(F)F)N2C1,"N-({6-methyl-[1,2,4]triazolo[4,3-a]pyridin-3-yl}methyl)-3-(trifluoromethyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-amine",H3403060,
