shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name
ANT-OPE-ab3-2,Z4461624341,C15H19N3O,Achiral,257.33,98.67,200415-FTE,,,0,40,20,1178796-Y40-03,A03,CN(C)C/C=C/C(=O)NCC1=CNC=2C=CC=CC12,(2E)-4-(dimethylamino)-N-[(1H-indol-3-yl)methyl]but-2-enamide
ANT-OPE-ab3-1,Z4461624344,C14H17N3O,Achiral,243.304,98.73,200415-FTE,,,0,40,20,1178796-Y40-03,B03,CN(C)C/C=C/C(=O)NC1=CNC=2C=CC=CC12,(2E)-4-(dimethylamino)-N-(1H-indol-3-yl)but-2-enamide
WAR-XCH-79d-4,Z291278642,C14H19ClN2O3S,Achiral,330.83,100,200415-FTE,,,0,40,20,1178796-Y40-03,C03,CC=1C=CC(=CC1)S(=O)(=O)NC2CCN(CC2)C(=O)CCl,N-[1-(2-chloroacetyl)piperidin-4-yl]-4-methylbenzene-1-sulfonamide
DAR-DIA-fb2-6,Z4461624300,C18H18ClN3O,Achiral,327.808,100,200415-FTE,,,0,40,20,1178796-Y40-03,D03,ClCC(=O)N1CCN(CC=2C=C(C#N)C=C3C=CC=CC23)CC1,4-{[4-(2-chloroacetyl)piperazin-1-yl]methyl}naphthalene-2-carbonitrile
MAK-UNK-643-10,Z4450620219,C10H13ClN2O3S2,Achiral,308.804,96.02,200415-FTE,,,0,40,20,1178796-Y40-03,E03,ClCC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CSC2,2-chloro-1-[4-(thiophene-3-sulfonyl)piperazin-1-yl]ethan-1-one
ANT-OPE-c0c-1,Z1937798708,C15H20N2O,Achiral,244.332,100,200415-FTE,,,0,40,20,1178796-Y40-03,F03,C=CC(=O)N1CCCN(CC=2C=CC=CC2)CC1,"1-(4-benzyl-1,4-diazepan-1-yl)prop-2-en-1-one"
MIC-IOC-304-2,Z4450620227,C18H17Cl2FN2O,Achiral,367.244,89.94,200415-FTE,,,0,40,20,1178796-Y40-03,G03,FC=1C=CC(CNC=2C=CC=3N(CCCC3C2)C(=O)CCl)=C(Cl)C1,"2-chloro-1-(6-{[(2-chloro-4-fluorophenyl)methyl]amino}-1,2,3,4-tetrahydroquinolin-1-yl)ethan-1-one"
STE-KU-2e0-1,Z4444622106,C15H20ClN3O2,Achiral,309.791,85,200415-FTE,,,0,40,20,1178796-Y40-03,H03,ClCC(=O)N1CCN(CCNC(=O)C=2C=CC=CC2)CC1,N-{2-[4-(2-chloroacetyl)piperazin-1-yl]ethyl}benzamide
TAM-UNI-d1c-18,Z4461624327,C16H19ClN4O2,Achiral,334.8,100,200415-FTE,,,0,40,20,1178796-Y40-03,I03,CC(=O)NC=1C=CC(C#N)=CC1CN2CCN(CC2)C(=O)CCl,N-(2-{[4-(2-chloroacetyl)piperazin-1-yl]methyl}-4-cyanophenyl)acetamide
JOO-IND-637-4,Z1937767983,C18H20N2O,Achiral,280.364,100,200415-FTE,,,0,40,20,1178796-Y40-03,J03,C=CC(=O)N1CCN(CC=2C=CC=C3C=CC=CC23)CC1,1-{4-[(naphthalen-1-yl)methyl]piperazin-1-yl}prop-2-en-1-one
