SMILES,CID,link
Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O,AAR-POS-dddeddbf-1,https://covid.postera.ai/covid/submissions/AAR-POS-dddeddbf
Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,AAR-POS-dddeddbf-2,https://covid.postera.ai/covid/submissions/AAR-POS-dddeddbf
Nc1ncc(S(=O)(=O)c2ccc(Cl)cc2)c(N)n1,AAR-POS-dddeddbf-3,https://covid.postera.ai/covid/submissions/AAR-POS-dddeddbf
N#Cc1ccccc1NC(=O)Cc1c[nH]c2ncccc12,ANT-DIA-3c79be55-1,https://covid.postera.ai/covid/submissions/ANT-DIA-3c79be55
CCOC(=O)C(=O)Nc1cc(OC)c(OC)c(OC)c1,ANT-LOU-17aa1493-3,https://covid.postera.ai/covid/submissions/ANT-LOU-17aa1493
C=CC(=O)N1CCN(Cc2ccc(F)cc2)CC1,ANT-OPE-d972fbad-1,https://covid.postera.ai/covid/submissions/ANT-OPE-d972fbad
CC12CCC(CC1)C(C)(C)O2,BET-COM-8a5969bb-1,https://covid.postera.ai/covid/submissions/BET-COM-8a5969bb
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,CHR-SOS-7098f804-1,https://covid.postera.ai/covid/submissions/CHR-SOS-7098f804
CNCc1c[nH]c2ccc(F)cc12,DAR-DIA-eace69ff-36,https://covid.postera.ai/covid/submissions/DAR-DIA-eace69ff
O=C(/C=C/c1ccccc1[N+](=O)[O-])c1ccccc1,DAV-IMP-59dd6621-11,https://covid.postera.ai/covid/submissions/DAV-IMP-59dd6621
O=C(/C=C/c1ccccc1)c1ccccc1,DAV-IMP-59dd6621-12,https://covid.postera.ai/covid/submissions/DAV-IMP-59dd6621
CC(=O)NCCc1cn(CC(=O)N2CCOCC2)c2ccccc12,DUN-NEW-f8ce3686-13,https://covid.postera.ai/covid/submissions/DUN-NEW-f8ce3686
CSCC(=O)N1CC[C@H](NC(=O)Nc2ccc(F)cc2F)[C@H]1C(=O)N(C)CC(N)=O,FAR-UNI-736b943a-11,https://covid.postera.ai/covid/submissions/FAR-UNI-736b943a
O=C(O)[C@@H]1CCCN1C(=O)C[C@@H](CNC(=O)[C@@H]1CSCN1)c1ccc(Cl)cc1,FAR-UNI-736b943a-4,https://covid.postera.ai/covid/submissions/FAR-UNI-736b943a
O=C(NC[C@]1(COc2ccc(C(F)(F)F)cn2)C[C@H](O)[C@H](O)C1)Nc1cccnc1,FAR-UNI-736b943a-6,https://covid.postera.ai/covid/submissions/FAR-UNI-736b943a
CSCC(=O)N1CC[C@H](NC(=O)Nc2ccc(F)cc2F)[C@H]1C(=O)N(C)CC(N)=O,FAR-UNI-9a76d7b5-2,https://covid.postera.ai/covid/submissions/FAR-UNI-9a76d7b5
O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,GER-UNI-caecb3b0-1,https://covid.postera.ai/covid/submissions/GER-UNI-caecb3b0
O=C(CC(=O)N1CCOCC1)NC1CCCCC1,GIA-UNK-3f36037a-1,https://covid.postera.ai/covid/submissions/GIA-UNK-3f36037a
O=C(CC(=O)N1CCOCC1)Nc1ccccc1,GIA-UNK-3f36037a-2,https://covid.postera.ai/covid/submissions/GIA-UNK-3f36037a
O=C1/C(=C/c2ccco2)CCC/C1=C\c1ccco1,GUZ-UNI-5a173832-2,https://covid.postera.ai/covid/submissions/GUZ-UNI-5a173832
COc1ccc2cccc(CCNC(C)=O)c2c1,JOH-MSK-ec639444-3,https://covid.postera.ai/covid/submissions/JOH-MSK-ec639444
C=CC(=O)N1CCN(C(=O)c2ccc(Br)s2)CC1,JOH-UNI-27ac80fd-26,https://covid.postera.ai/covid/submissions/JOH-UNI-27ac80fd
COC(=O)C(c1ccccc1Cl)N1CCC2SC(=O)C=C2C1,JOH-UNI-a5c0a47e-2,https://covid.postera.ai/covid/submissions/JOH-UNI-a5c0a47e
