SMILES,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry
ClCC(=O)NC=1C=CC=C(C1)N2CCCC2=O,MAK-UNK-643-4,Z199423638,252.69,100.0,4,50,1166137-Y4-02,A05,
FC=1C=CC=C(F)C1S(=O)(=O)N2CCN(CC2)C(=O)CCl,MAK-UNK-643-6-2,Z147647646,338.75,95.0,4,50,1166137-Y4-02,B05,
ClCC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=CS2,MAK-UNK-643-1-2,Z147647358,308.8,100.0,4,50,1166137-Y4-02,C05,
FC=1C=CC=C(C1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,MAK-UNK-643-5-2,Z147647642,320.76,100.0,4,50,1166137-Y4-02,D05,
NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CC2)C=3C=CSC3,WAR-XCH-b72-16,Z3076733213,322.44,100.0,4,50,1166137-Y4-02,E05,
CC=1C=CC=C(NC2CCN(CC2)C=3C=CC(=CC3)S(=O)(=O)N)C1,WAR-XCH-b68-27,Z3076198092,345.45,100.0,4,50,1166137-Y4-02,F05,
NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CC2)C3=CC=CO3,WAR-XCH-b72-7,Z3077528599,306.38,100.0,4,50,1166137-Y4-02,G05,
O=C(CC=1C=NC=NC1)NC=2C=CC=C(OC3CC(=O)N3)C2,BAR-COM-4e0-39,Z4444622180,298.29,99.31,4,50,1166137-Y4-02,H05,
O=C(CC=1C=NC=C2C=CC=CC12)NC=3C=CC=CC3,DAR-DIA-23a-20,Z4444622066,262.3,100.0,4,50,1166137-Y4-02,I05,
CC(NC(=O)C=1C=CC=CC1OCC(=O)N)C=2C=NN(C)C2,BAR-COM-4e0-62,Z1260022281,302.32,100.0,4,50,1166137-Y4-02,J05,
O=C(NCC=1C=NSC1)C=2C=CC=CC2OCC#N,BAR-COM-4e0-49,Z4444621965,273.31,97.02,4,50,1166137-Y4-02,K05,
CCC(NC(=O)C(C)N1C=NC=N1)C=2C=CC=CC2OCC(=O)N3CCCC3,BAR-COM-4e0-31,Z1190447759,385.46,96.14999999999999,4,50,1166137-Y4-02,L05,
O=C(C1CCOCC1)N2CCN(CC2)C(=O)C=3C=CC=CC3,GIA-UNK-eaa-1,Z73335350,302.36,100.0,4,50,1166137-Y4-02,M05,
NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CC2)C=3C=CN=CC3,WAR-XCH-b72-15,Z3076880033,317.4,99.0,4,50,1166137-Y4-02,N05,
O=C(CC=1C=NC=C(C#N)C1)NC=2C=CC=NC2,DAR-DIA-23a-17,Z4444621910,238.24,100.0,4,50,1166137-Y4-02,O05,
NC1=NN=NN1C=2C=CC=C(C2)C(=O)NC3=C(N=C4C=CC=CN34)C=5C=CC=NC5,BAR-COM-4e0-2,Z4444622179,397.39,94.54,4,50,1166137-Y4-02,P05,
NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CO)CC2,WAR-XCH-b72-14,Z759957788,270.34,100.0,4,50,1166137-Y4-02,Q05,
CC=1C=CN=CC1NC(=O)CC=2C=CC=C(C#N)C2,TRY-UNI-714-20,Z1344037997,251.28,100.0,4,50,1166137-Y4-02,R05,
CCN(C)CC1CCN(CC1)C=2C=CC(=CC2)S(=O)(=O)N,WAR-XCH-b72-49,Z3394588817,311.44,100.0,4,50,1166137-Y4-02,S05,
O=C(CC=1C=NC=C2C=CC=CC12)NC=3C=CC=C(C#N)C3,DAR-DIA-23a-19,Z4444622023,287.31,100.0,4,50,1166137-Y4-02,T05,
CC(NC(=O)C=1C=CC=CC1OCC=2C(C)=NOC2C)C3=NN=C4N=CC=CN34,BAR-COM-4e0-9,Z1374382617,392.41,93.08,4,50,1166137-Y4-02,U05,
CC=1C=CC=C(C)C1OCC(=O)NCCC=2C=CC=CC2,ALE-UNK-fca-3,Z26348840,283.36,95.0,4,50,1166137-Y4-02,V05,
NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CN3CCCCCC3)CC2,WAR-XCH-b72-20,Z3075583038,351.5,93.79,4,50,1166137-Y4-02,W05,
CNS(=O)(=O)C=1C=CC(=CC1)C(C)NC(=O)C2CC2=C,VIJ-CYC-1a3-5,Z2798213615,294.36,90.0,4,50,1166137-Y4-02,X05,
CC=1C=CN=CC1NC(=O)CC=2C=CC(=CC2)S(=O)(=O)N,GAB-REV-70c-20,Z1135790839,305.35,100.0,4,50,1166137-Y4-02,Y05,
CC(C(=O)NC=1C=CC=C(NC2CCCC2)C1)C=3C=NC=CN3,BAR-COM-4e0-20,Z2915108704,310.39,100.0,4,50,1166137-Y4-02,Z05,
COC=1C=CN=C(NC(=O)CC=2C=CC=3C=CC=CC3C2)C1,LV-UNI-7ff-47,Z1535580916,292.33,100.0,4,50,1166137-Y4-02,AA05,
CC(C)NC1CCN(CC1)C=2C=CC(=CC2)S(=O)(=O)N,WAR-XCH-b68-23,Z3075936836,297.41,100.0,4,50,1166137-Y4-02,AB05,
